count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
40,normal controls (NCs),healthy,NCs,,,,,,,,yes,6389716.0
55,,healthy,adolescents,17.0,38.0,13.0,12-14,12,14,,yes,7057279.0
24,null,healthy,designers,10.0,14.0,34.5,null,,,,yes,8699602.0
55,,healthy,well-known actors rated on attractiveness,55.0,0.0,24.255,18-35,18,35,,yes,6434022.0
55,,healthy,well-known actors rated on likability based on body of work,55.0,0.0,24.255,18-35,18,35,,yes,6434022.0
40,,healthy,healthy,20.0,20.0,20.0,18-23,18,23,,yes,4370584.0
14,,healthy,healthy participants,6.0,8.0,24.8,22-29,22,29,,yes,3078751.0
36,healthy,healthy,men,36.0,0.0,,22-55,22,55,,yes,7913329.0
27,healthy,healthy,women,0.0,27.0,,22-55,22,55,,yes,7913329.0
24,AN,patients,AN,0.0,24.0,,,,,,yes,4530666.0
25,,healthy,HC,0.0,25.0,,,,,,yes,4530666.0
31,null,healthy,healthy,16.0,15.0,20.0,18-22,18,22,,yes,3539852.0
13,N/A,healthy,DCG,5.0,8.0,23.1,19-29,19,29,,yes,4034409.0
13,N/A,healthy,TCG,4.0,9.0,23.5,19-29,19,29,,yes,4034409.0
7,,healthy,,7.0,0.0,23.5,21-28,21,28,,yes,7406917.0
27,generalized SAD,patients,SAD,15.0,12.0,,,,,,yes,4029608.0
27,no lifetime history of psychiatric disorders,healthy,HC,14.0,13.0,,,,,,yes,4029608.0
18,,healthy,Experiment 1 (semantic categorization),10.0,8.0,26.3,21-41,21,41,,yes,3869681.0
18,,healthy,Experiment 2 (silently thinking about a word's meaning),9.0,9.0,26.6,21-38,21,38,,yes,3869681.0
20,no prior history of neurological disease,healthy,healthy males,20.0,0.0,23.9,18-33,18,33,,yes,4255751.0
21,Essential Tremor (ET),patients,ET patients,12.0,9.0,51.6,null,,,,yes,4732188.0
21,none,healthy,healthy controls,14.0,7.0,50.6,null,,,,yes,4732188.0
14,congenitally profoundly deaf,patients,CS group,3.0,11.0,25.0,18-33,18,33,,yes,5371603.0
15,normally hearing,healthy,NH group,6.0,9.0,25.17,20-37,20,37,,yes,5371603.0
9,,healthy,musicians,6.0,3.0,23.0,19-27,19,27,,yes,5719057.0
44,relapsing-remitting multiple sclerosis,patients,FMS,,,,,,,,yes,6200185.0
25,,healthy,healthy controls,,,,,,,,yes,6200185.0
10,none,healthy,healthy volunteers,5.0,5.0,,18-36,18,36,,yes,4280551.0
7,none,healthy,additional volunteers,,,,,,,,yes,4280551.0
20,,healthy,healthy participants,12.0,8.0,24.56,null,,,,yes,4477935.0
30,primary unilateral hemifacial spasm (HFS),patients,HFS patients,12.0,18.0,48.87,38.26-59.48,38,59,,yes,8569140.0
30,none,healthy,healthy controls,12.0,18.0,47.63,34.34-60.92,34,60,,yes,8569140.0
10,essential tremor (ET),patients,ET patients,6.0,4.0,69.4,null,,,,yes,7493988.0
10,no diagnosis,healthy,HC,5.0,5.0,67.7,null,,,,yes,7493988.0
48,,healthy,genuine EA,24.0,24.0,26.4,null,,,,yes,2993660.0
17,no history of psychiatric or neurological disorders,healthy,female participants,0.0,17.0,20.7,18-23,18,23,,yes,6688454.0
10,,healthy,right-handed participants,7.0,3.0,26.6,,,,,yes,8893203.0
18,,healthy,healthy volunteers,9.0,9.0,30.3,26-35,26,35,,yes,6726765.0
35,SCD,patients,SCD,,,,55-75,55,75,,yes,7090024.0
32,HC,healthy,HC,,,,55-75,55,75,,yes,7090024.0
14,,healthy,healthy subjects,5.0,9.0,27.0,20-34,20,34,,yes,6198067.0
11,,healthy,analyzed subjects,7.0,4.0,28.0,21-35,21,35,,yes,6198067.0
15,healthy,healthy,healthy,7.0,8.0,25.6,22-30,22,30,,yes,3889700.0
20,normal hearing,healthy,all participants,9.0,11.0,23.0,18-27,18,27,,yes,7339141.0
5,supratentorial gliomas,patients,patients with intrinsic tumours within the right cerebral hemisphere,2.0,3.0,33.7,,,,,yes,6699415.0
53,SAD (generalized subtype),patients,SAD,36.0,17.0,29.9,null,,,,yes,4416052.0
33,null,healthy,Control,19.0,14.0,29.4,null,,,,yes,4416052.0
18,,healthy,right-handed female volunteers,0.0,18.0,21.04,null,,,,yes,4975394.0
7,,healthy,HCD,2.0,5.0,31.0,,,,,yes,7758977.0
6,,healthy,fasting,1.0,5.0,29.0,,,,,yes,7758977.0
50,Idiopathic Parkinson's Disease (IPD),patients,IPD patients,29.0,21.0,57.7,null,,,,yes,6675526.0
20,null,healthy,healthy controls,11.0,9.0,54.6,null,,,,yes,6675526.0
19,null,healthy,right-handed adults,12.0,7.0,27.9,null,,,,yes,7456884.0
31,vascular mild cognitive impairment (VaMCI),patients,VaMCI,,,,,,,,yes,6350268.0
32,normal controls (NCs),healthy,NCs,,,,,,,,yes,6350268.0
42,none,healthy,healthy volunteers,42.0,0.0,23.86,19-32,19,32,,yes,4380440.0
18,Parkinson's disease with anxiety (PD-A),patients,PD-A,,,,,,,,yes,5655292.0
45,Parkinson's disease without anxiety (PD-NA),patients,PD-NA,,,,,,,,yes,5655292.0
24,Healthy controls,healthy,HC,,,,,,,,yes,5655292.0
21,history of childhood abuse,patients,childhood abuse,15.0,6.0,17.5,null,,,,yes,5104469.0
19,psychiatric controls,patients,psychiatric controls,9.0,10.0,16.9,null,,,,yes,5104469.0
27,no history of psychiatric illness and childhood maltreatment,healthy,healthy controls,21.0,6.0,17.5,null,,,,yes,5104469.0
57,typically developing,healthy,typically developing children,31.0,26.0,10.19,9-11,9,11,,yes,7099000.0
15,without any psychiatric illness or nerve/brain-related conditions,healthy,right-handed men with driving experience,15.0,0.0,26.0,null,,,,yes,5270359.0
15,,healthy,Experiment 1,6.0,9.0,26.0,,,,,yes,4458841.0
14,,healthy,Experiment 2,7.0,7.0,28.0,,,,,yes,4458841.0
28,healthy,healthy,younger adults,19.0,9.0,24.39,18-34,18,34,,yes,7004957.0
24,healthy,healthy,older adults,15.0,9.0,66.95,55-75,55,75,,yes,7004957.0
40,,healthy,,32.0,8.0,20.5,18-28,18,28,,yes,3605341.0
14,Developmental Dyscalculia (DD),patients,DD children,,,,8-11,8,11,,yes,5758587.0
11,Typically Developing (TD),healthy,TD children,,,,8-11,8,11,,yes,5758587.0
12,cockroach phobia,patients,PhG,4.0,8.0,40.08,,,,,yes,6220927.0
12,no phobias,healthy,CG,4.0,8.0,24.08,,,,,yes,6220927.0
21,idiopathic PD,patients,PD,14.0,7.0,,,,,,yes,3045463.0
19,,healthy,Control,12.0,7.0,,,,,,yes,3045463.0
13,chronic pain,patients,chronic pain,4.0,9.0,51.8,43-65,43,65,52,yes,4048172.0
13,no chronic pain,healthy,normal control,4.0,9.0,48.7,38-62,38,62,46,yes,4048172.0
30,,healthy,CantoneseMandarinEnglish trilinguals,10.0,20.0,,18-25,18,25,,yes,5881103.0
20,,healthy,healthy subjects,16.0,4.0,,20-36,20,36,,yes,4717328.0
6,,healthy,young adults,5.0,1.0,,22-35,22,35,,yes,3894920.0
223,mood and/or anxiety disorder,patients,MA,61.0,162.0,36.0,null,,,,yes,7082218.0
45,null,healthy,HC,22.0,23.0,32.0,null,,,,yes,7082218.0
32,,healthy,fMRI study participants,13.0,19.0,23.0,19-30,19,30,,yes,3672681.0
32,healthy,healthy,all participants,17.0,15.0,,25-27,25,27,,yes,4332461.0
16,healthy,healthy,low BrAC group,,,,,,,,yes,4332461.0
16,healthy,healthy,high BrAC group,,,,,,,,yes,4332461.0
27,CUD,patients,male CUs,27.0,0.0,,18-45,18,45,,yes,8459240.0
28,CUD,patients,female CUs,0.0,28.0,,18-45,18,45,,yes,8459240.0
26,nonCUs,healthy,male nonCUs,26.0,0.0,,18-45,18,45,,yes,8459240.0
28,nonCUs,healthy,female nonCUs,0.0,28.0,,18-45,18,45,,yes,8459240.0
10,,healthy,healthy volunteers,3.0,7.0,39.8,18-50,18,50,,yes,2935390.0
12,Binge drinking,patients,binge drinkers,7.0,5.0,23.8,19-32,19,32,,yes,3791281.0
12,No diagnosis,healthy,controls,7.0,5.0,23.8,19-32,19,32,,yes,3791281.0
27,,healthy,young and healthy,,,24.9,20-38,20,38,,yes,6646524.0
21,heroin relapsers,patients,relapsers,21.0,0.0,,,,,,yes,4990879.0
19,heroin non-relapsers,patients,non-relapsers,19.0,0.0,,,,,,yes,4990879.0
39,chronic aphasia,patients,aphasia group,,,,,,,,yes,5266856.0
37,,healthy,control group,,,,,,,,yes,5266856.0
42,ASD,patients,ASD,,,,8-36,8,36,,yes,3842522.0
48,TD,healthy,TD,,,,8-36,8,36,,yes,3842522.0
19,MTLE,patients,MTLE patients,11.0,8.0,45.3,unknown,,,,yes,7836234.0
19,none,healthy,healthy controls,10.0,9.0,45.8,unknown,,,,yes,7836234.0
22,,healthy,Control group,16.0,6.0,16.0,,12,20,,yes,3701149.0
12,transient AHs,patients,AH group,5.0,7.0,15.97,,12,20,,yes,3701149.0
13,22q11.2 Deletion Syndrome,patients,22q11.2DS group,9.0,4.0,16.14,,12,20,,yes,3701149.0
14,normal hearing,healthy,all participants,7.0,7.0,,22-48,22,48,,yes,3788350.0
31,AN,patients,AN,0.0,31.0,,,,,,yes,3913832.0
35,no personal or family history of eating disorders,healthy,HC,0.0,35.0,,,,,,yes,3913832.0
20,,healthy,all participants,14.0,6.0,24.0,20-34,20,34,,yes,8764488.0
11,healthy normal,healthy,healthy normal,5.0,6.0,31.0,25-38,25,38,,yes,3132672.0
16,,healthy,healthy volunteers,6.0,10.0,23.1,19-29,19,29,,yes,5832413.0
16,,healthy,healthy,10.0,6.0,30.1,18-40,18,40,,yes,4072722.0
17,control,healthy,control,9.0,8.0,21.5,null,,,,yes,5339238.0
14,former iron deficient anemic,patients,FIDA,8.0,6.0,21.5,null,,,,yes,5339238.0
31,,healthy,healthy young participants,,,,25-27,25,27,,yes,5890144.0
100,multi-problem young adults with varying levels of psychopathic traits,patients,multi-problem young adults,100.0,0.0,,18-27,18,27,,yes,6004505.0
22,healthy,healthy,healthy controls,22.0,0.0,,18-27,18,27,,yes,6004505.0
19,ADHD,patients,ADHD,,,,,,,,yes,4936600.0
6,DCD,patients,DCD,,,,,,,,yes,4936600.0
14,DCD+ADHD,patients,DCD+ADHD,,,,,,,,yes,4936600.0
21,typically developing,healthy,typically developing,,,,,,,,yes,4936600.0
15,,healthy,Baltimore community,5.0,10.0,31.6,22-54,22,54,,yes,7981326.0
18,no history of neurological and psychiatric disorders,healthy,healthy participants,10.0,8.0,25.0,22-29,22,29,,yes,4493392.0
45,healthy,healthy,all participants,18.0,27.0,24.49,21-27,21,27,,yes,5428836.0
24,VPT,patients,VPT,,,,,,,,yes,4215530.0
22,CT,healthy,CT,,,,,,,,yes,4215530.0
17,schizophrenia or schizoaffective disorder,patients,patients with schizophrenia or schizoaffective disorder,,,,,,,,yes,7851842.0
18,no history of any mental disorders,healthy,matched controls,,,,,,,,yes,7851842.0
33,neurotypical,healthy,neurotypical,17.0,16.0,26.0,20-48,20,48,,no,5447679.0
50,mTBI,patients,mTBI,25.0,28.0,,20-58,20,58,,yes,7539836.0
43,,healthy,HC,19.0,24.0,,20-59,20,59,,yes,7539836.0
34,no history of neurological or psychiatric illnesses,healthy,right-handed students,19.0,15.0,,18-25,18,25,,yes,6908964.0
16,none,healthy,Experiment 2,11.0,5.0,39.5,20-59,20,59,,yes,4349631.0
19,obsessivecompulsive disorder (OCD),patients,OCD patients,,,,,,,,yes,3777673.0
19,none,healthy,healthy control participants,,,,,,,,yes,3777673.0
15,,healthy,healthy,8.0,7.0,22.21,,,,,yes,6195265.0
12,null,healthy,men,12.0,0.0,,23-45,23,45,,yes,2525845.0
12,null,healthy,women (early follicular phase),0.0,12.0,,23-45,23,45,,yes,2525845.0
12,null,healthy,women (midluteal phase),0.0,12.0,,23-45,23,45,,yes,2525845.0
22,healthy,healthy,fMRI,11.0,11.0,23.33,null,null,null,null,yes,6215330.0
15,,healthy,healthy,8.0,7.0,26.5,21-38,21,38,,yes,3324921.0
5,epilepsy,patients,epilepsy,2.0,3.0,25.0,,,,,yes,3324921.0
24,asymptomatic carotid artery stenosis,patients,asymptomatic carotid artery stenosis patients,,,,55-80,55,80,,yes,5552726.0
14,Alzheimer's disease (AD),patients,AD patients,,,,,,,,yes,3423412.0
8,mild cognitive impairment (MCI),patients,MCI patients,,,,,,,,yes,3423412.0
14,,healthy,healthy elders,,,,,,,,yes,3423412.0
29,new daily persistent headache (NDPH),patients,NDPH,15.0,14.0,37.0,null,,,,yes,10958407.0
37,null,healthy,HCs,16.0,21.0,34.89,null,,,,yes,10958407.0
122,relapsing-remitting MS,patients,MS patients,38.0,84.0,37.6,18-65,18,65,,yes,11033924.0
97,,healthy,HC subjects,41.0,56.0,38.1,18-65,18,65,,yes,11033924.0
229,neurotypical,healthy,overall,114.0,115.0,21.58,17-29,17,29,,yes,10980722.0
112,neurotypical,healthy,behavioral analysis,112.0,0.0,21.57,17-29,17,29,,yes,10980722.0
115,neurotypical,healthy,behavioral analysis,0.0,115.0,21.57,17-29,17,29,,yes,10980722.0
73,,healthy,adults,29.0,44.0,22.3,18-39,18,39,,no,10956805.0
16,Alzheimer's disease,patients,pre-intervention AD patients,,,,,,,,yes,11024046.0
16,Alzheimer's disease,patients,post-intervention AD patients,,,,,,,,yes,11024046.0
16,,healthy,healthy controls,,,,,,,,yes,11024046.0
50,,healthy,all participants,11.0,39.0,21.6,17-26,17,26,,yes,11063816.0
48,focal epilepsy,patients,patients,15.0,33.0,,,,,28,yes,10839335.0
13,,healthy,healthy,9.0,1.0,24.0,19-29,19,29,,yes,10839845.0
55,BPPV with RD,patients,BPPV with RD,,,,,,,,yes,10850607.0
55,BPPV without RD,patients,BPPV without RD,,,,,,,,yes,10850607.0
55,healthy,healthy,healthy,,,,,,,,yes,10850607.0
28,refractory epilepsy,patients,patients with refractory epilepsy,,,,16-60,16,60,,yes,11069337.0
27,normal cognition (NC),patients,NC,,,,,,,,yes,10999557.0
21,mild cognitive impairment (MCI),patients,MCI,18.0,3.0,,,,,,yes,10999557.0
10,severe cognitive impairment (SCI),patients,SCI,,,74.4,,,,,yes,10999557.0
395,,healthy,young and healthy,,,,22-36,22,36,,yes,11000510.0
7,intracranial lesions,patients,fMRI-adjunct LITT candidates,,,,,,,,yes,10844152.0
78,cervical spondylotic myelopathy (CSM),patients,conventional rehabilitation group,,,,20-75,20,75,,yes,10877862.0
78,cervical spondylotic myelopathy (CSM),patients,VR training combined with conventional rehabilitation group,,,,20-75,20,75,,yes,10877862.0
30,BPD,patients,BPD,1.0,29.0,24.22,,,,,yes,10870473.0
30,no psychiatric diagnosis,healthy,HC,1.0,29.0,24.66,,,,,yes,10870473.0
22,none,healthy,healthy young adults,22.0,0.0,22.8,21-24,21,24,,yes,10858222.0
31,,healthy,HC,,,,18-65,18,65,,yes,10995093.0
27,unipolar depression,patients,UD,,,,18-65,18,65,,yes,10995093.0
21,bipolar depression,patients,BD,,,,18-65,18,65,,yes,10995093.0
54,CUD,patients,CUD patients,46.0,8.0,,,,,,yes,11035677.0
