group_name,subgroup_name,count,diagnosis,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
patients,severe depression,18,Major Depressive Disorder,,,,,,,,yes,4983635.0
patients,very severe depression,15,Major Depressive Disorder,,,,,,,,yes,4983635.0
patients,all MDD patients,45,Major Depressive Disorder,16.0,29.0,37.0,19-58,19.0,58.0,,yes,4983635.0
healthy,controls,19,,8.0,11.0,33.0,20-52,20.0,52.0,,yes,4983635.0
patients,PD,42,Parkinson's disease,,,,,45.0,,,yes,6389716.0
healthy,NC,40,Normal controls,,,,,,,,yes,6389716.0
healthy,adolescents,55,,17.0,38.0,13.0,12-14,12.0,14.0,,yes,7057279.0
healthy,designers,24,,10.0,14.0,34.5,,,,,yes,8699602.0
healthy,participants,55,,55.0,0.0,24.255,18-35,18.0,35.0,,yes,6434022.0
healthy,implementation intention,20,,10.0,10.0,20.0,18-23,18.0,23.0,,yes,4370584.0
healthy,goal intention,20,,10.0,10.0,20.0,18-23,18.0,23.0,,yes,4370584.0
healthy,participants,14,,6.0,8.0,24.8,22-29,22.0,29.0,,yes,3078751.0
healthy,men,36,,36.0,0.0,37.0,22-55,22.0,55.0,,yes,7913329.0
healthy,women,27,,0.0,27.0,37.0,22-55,22.0,55.0,,yes,7913329.0
patients,anorexia nervosa,24,anorexia nervosa,0.0,24.0,,,,,,yes,4530666.0
healthy,control,25,,0.0,25.0,,,,,,yes,4530666.0
healthy,participants,31,,16.0,15.0,,18-22,18.0,22.0,,yes,3539852.0
healthy,delay conditioning group,13,,5.0,8.0,23.1,null-null,,,,yes,4034409.0
healthy,trace conditioning group,13,,4.0,9.0,23.5,null-null,,,,yes,4034409.0
healthy,male subjects,7,,7.0,0.0,23.5,21-28,21.0,28.0,,yes,7406917.0
patients,SAD,27,social anxiety disorder,15.0,12.0,,,,,,yes,4029608.0
healthy,HC,27,,14.0,13.0,,,,,,yes,4029608.0
healthy,Experiment 1,18,,10.0,8.0,26.3,21-41,21.0,41.0,,yes,3869681.0
healthy,Experiment 2,18,,9.0,9.0,26.6,21-38,21.0,38.0,,yes,3869681.0
healthy,participants,20,,20.0,0.0,23.9,18-33,18.0,33.0,,yes,4255751.0
patients,ET patients,21,Essential Tremor,12.0,9.0,51.6,null,,,,yes,4732188.0
healthy,Healthy controls,21,,14.0,7.0,50.6,null,,,,yes,4732188.0
patients,deaf CS users,14,congenital deafness,3.0,11.0,25.0,18-33,18.0,33.0,,yes,5371603.0
healthy,normally hearing,15,,6.0,9.0,25.17,20-37,20.0,37.0,,yes,5371603.0
healthy,musicians,9,,6.0,3.0,23.0,19-27,19.0,27.0,,yes,5719057.0
patients,MS patients,44,relapsing-remitting multiple sclerosis,,,,18-55,18.0,55.0,,yes,6200185.0
healthy,healthy controls,25,,,,,,,,,yes,6200185.0
healthy,volunteers,18,,,,,18-36,18.0,36.0,,yes,4280551.0
healthy,all participants,20,,12.0,8.0,24.0,null-null,,,,yes,4477935.0
patients,HFS patients,30,hemifacial spasm,12.0,18.0,48.87,,,,,yes,8569140.0
healthy,Healthy controls,30,,12.0,18.0,47.63,,,,,yes,8569140.0
patients,essential tremor,10,essential tremor,6.0,4.0,69.4,60.5-78.3,60.0,78.0,,yes,7493988.0
healthy,controls,10,,5.0,5.0,67.7,59.9-75.5,59.0,75.0,,yes,7493988.0
healthy,all participants,48,healthy,24.0,24.0,26.4,,,,,yes,2993660.0
healthy,participants,17,,0.0,17.0,20.7,18-23,18.0,23.0,,yes,6688454.0
healthy,participants,10,,7.0,3.0,26.6,,,,,yes,8893203.0
healthy,participants,18,,9.0,9.0,30.3,null-null,,,,yes,6726765.0
patients,SCD,35,subjective cognitive decline (SCD),,,,55-75,55.0,75.0,,yes,7090024.0
healthy,healthy controls,32,healthy,,,,,,,,yes,7090024.0
healthy,participants,11,,7.0,4.0,28.0,,,,,yes,6198067.0
healthy,participants,16,,8.0,8.0,25.6,22-30,22.0,30.0,,yes,3889700.0
healthy,participants,20,,9.0,11.0,23.0,18-27,18.0,27.0,,yes,7339141.0
patients,glioma patients,5,supratentorial glioma,2.0,3.0,33.7,,,,,yes,6699415.0
patients,SAD,53,Social Anxiety Disorder,36.0,17.0,29.9,,,,,yes,4416052.0
healthy,Control,33,,19.0,14.0,29.4,,,,,yes,4416052.0
healthy,all participants,25,,0.0,25.0,21.04,,,,,yes,4975394.0
healthy,included in imaging analysis,18,,0.0,18.0,21.04,,,,,yes,4975394.0
healthy,HCD group,7,healthy,2.0,5.0,31.0,,,,,yes,7758977.0
healthy,fasting group,6,healthy,1.0,5.0,29.0,,,,,yes,7758977.0
patients,IPD patients,50,Idiopathic Parkinson's disease (IPD),29.0,21.0,57.7,,,,,yes,6675526.0
healthy,healthy controls,20,,11.0,9.0,54.6,,,,,yes,6675526.0
healthy,participants,19,,12.0,7.0,27.9,,,,,yes,7456884.0
patients,VaMCI,31,vascular mild cognitive impairment (VaMCI),,,,,,,,yes,6350268.0
healthy,NC,32,normal controls (NCs),,,,,,,,yes,6350268.0
healthy,participants,33,,33.0,0.0,23.86,19-32,19.0,32.0,,yes,4380440.0
patients,PD-A,18,Parkinson's disease with anxiety,,,,,,,,yes,5655292.0
patients,PD-NA,45,Parkinson's disease without anxiety,,,,,,,,yes,5655292.0
healthy,Healthy Controls,24,,,,,,,,,yes,5655292.0
patients,childhood abuse,21,history of childhood physical abuse,15.0,6.0,17.5,,,,,yes,5104469.0
patients,psychiatric controls,19,matched psychiatric conditions,9.0,10.0,16.9,,,,,yes,5104469.0
healthy,healthy controls,27,no history of psychiatric illness or childhood maltreatment,21.0,6.0,17.5,,,,,yes,5104469.0
healthy,typically developing children,57,,31.0,26.0,10.19,,,,,yes,7099000.0
healthy,study participants,15,,15.0,0.0,26.0,,,,,yes,5270359.0
healthy,Experiment 1,15,,,,26.0,,,,,yes,4458841.0
healthy,Experiment 2,14,,,,28.0,,,,,yes,4458841.0
healthy,younger adults,28,,19.0,9.0,24.39,18-34,18.0,34.0,,yes,7004957.0
healthy,older adults,24,,15.0,9.0,66.95,55-75,55.0,75.0,,yes,7004957.0
healthy,all subjects,40,,32.0,8.0,20.5,18-28,18.0,28.0,,yes,3605341.0
patients,developmental dyscalculia,17,developmental dyscalculia,,,,8-11,8.0,11.0,,yes,5758587.0
healthy,typically developing,11,,,,,8-11,8.0,11.0,,yes,5758587.0
patients,phobic,12,cockroach phobia,4.0,8.0,40.08,null,,,,yes,6220927.0
healthy,non-phobic,12,,4.0,8.0,24.08,null,,,,yes,6220927.0
healthy,control,19,,12.0,7.0,,,,,,yes,3045463.0
patients,Parkinson's disease,21,Parkinson's disease,14.0,7.0,,,,,,yes,3045463.0
patients,chronic pain,13,chronic muscle-skeletal low back pain,4.0,9.0,51.8,43-65,43.0,65.0,52.0,yes,4048172.0
healthy,normal controls,13,,4.0,9.0,48.7,38-62,38.0,62.0,46.0,yes,4048172.0
healthy,CantoneseMandarinEnglish trilinguals,30,,10.0,20.0,,18-25,18.0,25.0,,yes,5881103.0
healthy,participants,20,,16.0,4.0,28.0,20-36,20.0,36.0,,yes,4717328.0
healthy,young adults,6,healthy,5.0,1.0,,22-35,22.0,35.0,,yes,3894920.0
patients,mood and anxiety disorder,223,mood and/or anxiety disorder,61.0,162.0,36.0,25-47,25.0,47.0,,yes,7082218.0
healthy,healthy control,45,,22.0,23.0,32.0,21-43,21.0,43.0,,yes,7082218.0
patients,A1 carriers,24,DRD2 TaqIA A1 allele carriers,,,23.65,18-30,18.0,30.0,,yes,3672681.0
healthy,A2 homozygotes,22,DRD2 TaqIA A2 homozygotes,,,23.65,18-30,18.0,30.0,,yes,3672681.0
healthy,all participants,32,,17.0,15.0,26.0,25-27,25.0,27.0,,yes,4332461.0
healthy,low BrAC group,16,,,,,,,,,yes,4332461.0
healthy,high BrAC group,16,,,,,,,,,yes,4332461.0
patients,male cocaine users,27,cocaine use disorder,27.0,0.0,,,18.0,45.0,,yes,8459240.0
patients,female cocaine users,28,cocaine use disorder,0.0,28.0,,,18.0,45.0,,yes,8459240.0
healthy,male non-cocaine users,26,,26.0,0.0,,,18.0,45.0,,yes,8459240.0
healthy,female non-cocaine users,28,,0.0,28.0,,,18.0,45.0,,yes,8459240.0
healthy,volunteers,10,healthy,3.0,7.0,39.8,18-50,18.0,50.0,,yes,2935390.0
patients,binge drinkers,12,binge drinkers,7.0,5.0,23.8,19-32,19.0,32.0,,yes,3791281.0
healthy,controls,12,healthy controls,7.0,5.0,23.8,19-32,19.0,32.0,,yes,3791281.0
healthy,participants,27,,,,24.9,20-38,20.0,38.0,,yes,6646524.0
patients,heroin relapsers,21,heroin addiction,21.0,0.0,,,,,,yes,4990879.0
patients,heroin non-relapsers,19,heroin addiction,19.0,0.0,,,,,,yes,4990879.0
patients,aphasia,39,chronic left hemisphere stroke with history of aphasia,,,,,,,,yes,5266856.0
healthy,control,37,,,,,,,,,yes,5266856.0
patients,ASD,42,Autism Spectrum Disorder,,,,8-36,8.0,36.0,,yes,3842522.0
healthy,TD,48,Typically Developing,,,,8-36,8.0,36.0,,yes,3842522.0
patients,MTLE patients,19,mesial temporal lobe epilepsy,11.0,8.0,45.3,null-null,,,,yes,7836234.0
healthy,healthy controls,19,,10.0,9.0,45.8,null-null,,,,yes,7836234.0
healthy,Control,22,,16.0,6.0,16.0,12-20,12.0,20.0,,yes,3701149.0
patients,AH,12,subclinical auditory hallucinations,5.0,7.0,15.97,12-20,12.0,20.0,,yes,3701149.0
patients,22q11.2DS,13,22q11.2 deletion syndrome,9.0,4.0,16.14,12-20,12.0,20.0,,yes,3701149.0
healthy,all participants,12,,6.0,6.0,,22-48,22.0,48.0,,yes,3788350.0
patients,AN,31,anorexia nervosa,0.0,31.0,,,,,,yes,3913832.0
healthy,HC,31,,0.0,31.0,,,,,,yes,3913832.0
healthy,participants,20,,14.0,6.0,24.0,20-34,20.0,34.0,,yes,8764488.0
healthy,all participants,11,healthy normal,5.0,6.0,31.0,25-38,25.0,38.0,,yes,3132672.0
healthy,fMRI participants,16,,6.0,10.0,23.1,19-29,19.0,29.0,,yes,5832413.0
healthy,participants,16,,10.0,6.0,30.1,18-40,18.0,40.0,,yes,4072722.0
patients,former iron deficient anemic,14,former iron deficiency anemia in infancy,8.0,6.0,21.5,null,,,,yes,5339238.0
healthy,controls,17,healthy controls,9.0,8.0,21.5,null,,,,yes,5339238.0
healthy,entire sample,31,,,,26.0,25-27,25.0,27.0,,yes,5890144.0
patients,multi-problem young adults,100,multi-problem young adults,100.0,0.0,,18-27,18.0,27.0,,yes,6004505.0
healthy,healthy controls,22,,22.0,0.0,,,,,,yes,6004505.0
patients,ADHD,19,ADHD,,,,,,,,yes,4936600.0
patients,DCD,6,DCD,,,,,,,,yes,4936600.0
patients,DCD+ADHD,14,DCD and ADHD,,,,,,,,yes,4936600.0
healthy,Typically developing,21,,,,,,,,,yes,4936600.0
healthy,all participants,15,,5.0,10.0,31.6,22-54,22.0,54.0,,yes,7981326.0
healthy,participants,18,,10.0,8.0,25.0,22-29,22.0,29.0,,yes,4493392.0
healthy,proposers,45,,18.0,27.0,24.49,,,,,yes,5428836.0
patients,very preterm birth,24,very preterm birth (<33 weeks of gestation),,,,,,,,yes,4215530.0
healthy,controls,22,full-term birth,,,,,,,,yes,4215530.0
patients,patients,17,schizophrenia or schizoaffective disorder,,,,,,,,yes,7851842.0
healthy,controls,18,healthy,,,,,,,,yes,7851842.0
healthy,participants,33,,17.0,16.0,26.0,20-48,20.0,48.0,,yes,5447679.0
patients,mTBI,50,mild traumatic brain injury,25.0,25.0,,20-58,20.0,58.0,,yes,7539836.0
healthy,controls,43,,19.0,24.0,,20-59,20.0,59.0,,yes,7539836.0
healthy,participants,34,,19.0,15.0,,18-25,18.0,25.0,,yes,6908964.0
healthy,behavioral experiment participants,22,,17.0,5.0,,19-41,19.0,41.0,,no,4349631.0
healthy,fMRI experiment participants,16,,11.0,5.0,,20-59,20.0,59.0,,yes,4349631.0
patients,OCD patients,19,obsessive-compulsive disorder,,,,,,,,yes,3777673.0
healthy,control participants,19,,,,,,,,,yes,3777673.0
healthy,all participants,15,,8.0,7.0,22.21,null-null,,,,yes,6195265.0
healthy,men,12,,12.0,0.0,,23-45,23.0,45.0,,yes,2525845.0
healthy,women_early_follicular,12,,0.0,12.0,,23-45,23.0,45.0,,yes,2525845.0
healthy,women_midluteal,12,,0.0,12.0,,23-45,23.0,45.0,,yes,2525845.0
healthy,fMRI participants,22,,11.0,11.0,23.3,,,,,yes,6215330.0
healthy,EEG participants,21,,9.0,12.0,26.76,,,,,yes,6215330.0
healthy,fMRI participants,15,,8.0,7.0,26.5,21-38,21.0,38.0,,yes,3324921.0
patients,epilepsy patients,5,epilepsy,2.0,3.0,25.0,,,,,yes,3324921.0
patients,asymptomatic carotid artery stenosis,16,asymptomatic carotid artery stenosis,,,,55-80,55.0,80.0,,yes,5552726.0
patients,AD,14,Alzheimer's disease (AD),,,,,,,,yes,3423412.0
patients,MCI,8,Mild Cognitive Impairment (MCI),,,,,,,,yes,3423412.0
healthy,control,14,,,,,,,,,yes,3423412.0
patients,NDPH,29,new daily persistent headache,15.0,14.0,37.0,null,,,,yes,10958407.0
healthy,controls,37,,16.0,21.0,34.89,null,,,,yes,10958407.0
patients,MS patients,122,relapsing-remitting multiple sclerosis,38.0,84.0,37.6,null,,,,yes,11033924.0
healthy,healthy controls,97,,41.0,56.0,38.1,null,,,,yes,11033924.0
healthy,all,229,neurotypical,114.0,115.0,21.58,17-29,17.0,29.0,,yes,10980722.0
healthy,all participants,73,,29.0,44.0,22.3,18-39,18.0,39.0,,no,10956805.0
patients,AD patients,16,Alzheimer's disease,,,,,,,,yes,11024046.0
healthy,healthy controls,16,,,,,,,,,yes,11024046.0
healthy,all_participants,50,,11.0,39.0,21.6,,,,,yes,11063816.0
patients,all_patients,48,focal epilepsy,15.0,33.0,,,,,28.0,yes,10839335.0
healthy,all participants,13,,12.0,1.0,24.0,19-29,19.0,29.0,,yes,10839845.0
healthy,healthy controls,55,healthy controls,,,,,,,,yes,10850607.0
patients,BPPV with RD,55,BPPV with residual dizziness,,,,,,,,yes,10850607.0
patients,BPPV without RD,55,BPPV without residual dizziness,,,,,,,,yes,10850607.0
patients,all_patients,28,refractory epilepsy,,,,16-60,16.0,60.0,,yes,11069337.0
patients,temporal_lobe_epilepsy,20,temporal lobe epilepsy,,,,,,,,yes,11069337.0
patients,extratemporal_lobe_epilepsy,8,extratemporal lobe epilepsy,,,,,,,,yes,11069337.0
patients,normal cognition,27,Parkinson's disease with normal cognition,,,,,,,,yes,10999557.0
patients,mild cognitive impairment,21,Parkinson's disease with mild cognitive impairment,18.0,3.0,,,,,,yes,10999557.0
patients,severe cognitive impairment,10,Parkinson's disease with severe cognitive impairment,,,74.4,,,,,yes,10999557.0
healthy,all,395,,,,,22-36,22.0,36.0,,yes,11000510.0
patients,fMRI-LITT candidates,7,intracranial lesions in or near eloquent structures,,,,,,,,yes,10844152.0
patients,CSM patients,78,cervical spondylotic myelopathy,,,,20-75,20.0,75.0,,yes,10877862.0
patients,BPD patients,30,borderline personality disorder,1.0,29.0,24.22,null,,,,yes,10870473.0
healthy,Healthy controls,30,null,1.0,29.0,24.66,null,,,,yes,10870473.0
healthy,young adults,22,,22.0,0.0,22.8,21.6-24,22.0,24.0,,yes,10858222.0
healthy,controls,31,,,,,,18.0,65.0,,yes,10995093.0
patients,unipolar depression,27,major depressive disorder,,,,,18.0,65.0,,yes,10995093.0
patients,bipolar depression,21,bipolar disorder,,,,,18.0,65.0,,yes,10995093.0
patients,CUD patients,54,Cocaine use disorder,46.0,8.0,,,,,,yes,11035677.0
