,group_name,subgroup_name,project_name,annotator_name,pmcid,umls,diagnosis,count,male count,age mean,female count,age minimum,age maximum,age median
350,healthy,_,participant_demographics,Jerome_Dockes,5447679,,,33,,,,,,
172,healthy,_,participant_demographics,Jerome_Dockes,5460049,,,56,54,34.4,2,21,60,
251,healthy,_,participant_demographics,Jerome_Dockes,5548834,,,47,,19.62,47,,,
578,healthy,_,participant_demographics,maximiliane_jousse,5596109,,,6,4,,2,,,
364,healthy,young hc,participant_demographics,Jerome_Dockes,5598991,,,60,,,,,,
365,healthy,old hc,participant_demographics,Jerome_Dockes,5598991,,,52,,,,,,
166,healthy,_,participant_demographics,Jerome_Dockes,5665859,,,15,,,,60,70,
25,healthy,_,participant_demographics,Jerome_Dockes,5686883,,,10,1,16.1,9,,,
388,healthy,_,participant_demographics,Jerome_Dockes,5717028,,,40,24,68.4,16,,,
78,healthy,_,participant_demographics,Jerome_Dockes,5719057,,,8,5,,3,19,27,
136,healthy,baseline,participant_demographics,Jerome_Dockes,5758587,,,11,,,,,,
137,healthy,follow-up,participant_demographics,Jerome_Dockes,5758587,,,8,,,,,,
138,healthy,_,participant_demographics,Jerome_Dockes,5761874,,,23,15,31.1,8,19,44,
14,healthy,_,participant_demographics,Jerome_Dockes,5776089,,,21,21,25.77,,20,40,
207,healthy,_,participant_demographics,Jerome_Dockes,5832413,,,16,6,23.1,10,19,29,
50,healthy,_,participant_demographics,Jerome_Dockes,5881103,,,30,10,,20,18,25,
182,healthy,_,participant_demographics,Jerome_Dockes,5890144,,,31,,,,25,27,
260,healthy,experiment 1,participant_demographics,Jerome_Dockes,5902547,,,41,16,19,25,,,
261,healthy,experiment 2,participant_demographics,Jerome_Dockes,5902547,,,44,11,22,33,,,
262,healthy,study 2 experiment 1,participant_demographics,Jerome_Dockes,5902547,,,17,5,24,12,18,31,
217,healthy,_,participant_demographics,Jerome_Dockes,6004505,,,22,22,,,,,
156,healthy,experiment 1,participant_demographics,Jerome_Dockes,6016936,,,14,,,,,,
157,healthy,experiment 2,participant_demographics,Jerome_Dockes,6016936,,,10,,,,,,
283,healthy,_,participant_demographics,Jerome_Dockes,6024199,,,21,7,22.1,14,18,37,
250,healthy,_,participant_demographics,Jerome_Dockes,6136263,,,20,1,,19,18,31,
92,healthy,_,participant_demographics,Jerome_Dockes,6195265,,,15,8,22.21,7,,,
243,healthy,siblings,participant_demographics,Jerome_Dockes,6197719,,,42,,,,,,
244,healthy,controls,participant_demographics,Jerome_Dockes,6197719,,,44,,,,,,
112,healthy,_,participant_demographics,Jerome_Dockes,6198067,,,11,7,28,4,,,
335,healthy,_,participant_demographics,Jerome_Dockes,6200185,,,25,,,,,,
288,healthy,fMRI,participant_demographics,Jerome_Dockes,6215330,,,22,11,23.3,11,,,
289,healthy,EEG,participant_demographics,Jerome_Dockes,6215330,,,21,9,26.76,12,,,
6,healthy,_,participant_demographics,Jerome_Dockes,6220927,,,12,4,,8,,,
107,healthy,_,participant_demographics,Jerome_Dockes,6246657,,,70,,,,,,
27,healthy,_,participant_demographics,Jerome_Dockes,6290711,,,26,26,28.5,,,,
192,healthy,_,participant_demographics,Jerome_Dockes,6328158,,,11,8,33.1,3,25,47,
104,healthy,_,participant_demographics,Jerome_Dockes,6344389,,,16,8,22.5,8,,,
102,healthy,_,participant_demographics,Jerome_Dockes,6350268,,,32,,,,,,
212,healthy,_,participant_demographics,Jerome_Dockes,6382839,,,17,4,,13,,,
231,healthy,_,participant_demographics,Jerome_Dockes,6389716,,,40,,,,,,
162,healthy,_,participant_demographics,Jerome_Dockes,6412974,,,24,14,33.2,10,,,
324,healthy,_,participant_demographics,Jerome_Dockes,6434022,,,55,55,24.255,,18,35,
394,healthy,_,participant_demographics,Jerome_Dockes,6457314,,,42,25,36.86,17,22,55,
423,healthy,HCP,participant_demographics,Jerome_Dockes,6492297,,,820,,,,,,
292,healthy,_,participant_demographics,Jerome_Dockes,6528067,,,10,4,20.8,6,,,
344,healthy,young adults,participant_demographics,Jerome_Dockes,6585311,,,12,8,25.2,4,,,
345,healthy,controls,participant_demographics,Jerome_Dockes,6585311,,,9,4,64.2,5,,,
43,healthy,_,participant_demographics,Jerome_Dockes,6611425,,,163,117,36.9,46,,,
113,healthy,_,participant_demographics,Jerome_Dockes,6646524,,,27,,,,,,
224,healthy,study 1 adults,participant_demographics,Jerome_Dockes,6664004,,,51,10,43.71,41,27.49,55.91,
225,healthy,study 1 adolescents,participant_demographics,Jerome_Dockes,6664004,,,53,26,13.37,27,12.18,14.82,
226,healthy,study 2 adolescents,participant_demographics,Jerome_Dockes,6664004,,,51,26,13.98,25,12.03,15.94,
131,healthy,_,participant_demographics,Jerome_Dockes,6675526,,,20,11,54.6,9,,,
331,healthy,_,participant_demographics,Jerome_Dockes,6688454,,,17,,20.7,17,18,23,
155,healthy,_,participant_demographics,Jerome_Dockes,6697392,,,21,,23.04,,18,35,
154,healthy,_,participant_demographics,Jerome_Dockes,6726765,,,18,9,30.3,9,,,
272,healthy,_,participant_demographics,Jerome_Dockes,6787094,,,16,12,,4,18,40,
310,healthy,_,participant_demographics,Jerome_Dockes,6820536,,,20,,42.1,20,21,70,
280,healthy,_,participant_demographics,Jerome_Dockes,6847157,,,31,10,24.3,21,20,29,
54,healthy,_,participant_demographics,Jerome_Dockes,6854061,,,77,,,,,,
367,healthy,_,participant_demographics,Jerome_Dockes,6868994,,,29,15,34.5,14,,,
400,healthy,_,participant_demographics,Jerome_Dockes,6902076,,,20,9,67.8,11,56,77,
193,healthy,_,participant_demographics,Jerome_Dockes,6908964,,,26,,,,,,
191,healthy,_,participant_demographics,Jerome_Dockes,6989437,,,13,8,,5,20,22,
413,healthy,_,participant_demographics,Jerome_Dockes,7002496,,,20,10,22.3,10,19,28,
337,healthy,young,participant_demographics,Jerome_Dockes,7004957,,,28,19,24.39,9,18,34,
338,healthy,old,participant_demographics,Jerome_Dockes,7004957,,,23,,,,,,
159,healthy,_,participant_demographics,Jerome_Dockes,7005761,,,26,17,11.4,9,8,16,
278,healthy,_,participant_demographics,Jerome_Dockes,7038454,,,104,,17.11,,12.27,21.96,
322,healthy,_,participant_demographics,Jerome_Dockes,7057279,,,55,17,13,38,,,
31,healthy,_,participant_demographics,Jerome_Dockes,7082218,,,45,22,32,23,,,
48,healthy,_,participant_demographics,Jerome_Dockes,7090024,,,32,,,,,,
183,healthy,_,participant_demographics,Jerome_Dockes,7099000,,,57,31,10.19,26,,,
354,healthy,_,participant_demographics,Jerome_Dockes,7118554,,,56,30,,26,,,
189,healthy,_,participant_demographics,Jerome_Dockes,7156375,,,33,18,25.242,15,,,
286,healthy,_,participant_demographics,Jerome_Dockes,7194032,,,28,,,,8,18,
34,healthy,tsd,participant_demographics,Jerome_Dockes,7260173,,,39,22,33.5,17,,,
35,healthy,control,participant_demographics,Jerome_Dockes,7260173,,,15,7,34.5,8,,,
59,healthy,post-partum,participant_demographics,Jerome_Dockes,7272423,,,25,,,25,,,
60,healthy,never pregnant,participant_demographics,Jerome_Dockes,7272423,,,32,,,32,,,
383,healthy,_,participant_demographics,Jerome_Dockes,7275001,,,21,,,,48,70,
177,healthy,_,participant_demographics,Jerome_Dockes,7275020,,,37,,,,,,
357,healthy,_,participant_demographics,Jerome_Dockes,7339141,,,20,9,23,11,18,27,
339,healthy,work with children,participant_demographics,Jerome_Dockes,7395771,,,19,9,,10,,,
340,healthy,no work with children,participant_demographics,Jerome_Dockes,7395771,,,19,9,,10,,,
218,healthy,_,participant_demographics,Jerome_Dockes,7406917,,,7,7,23.5,,21,28,
404,healthy,_,participant_demographics,Jerome_Dockes,7416060,,,90,,,,,,
125,healthy,_,participant_demographics,Jerome_Dockes,7430162,,,13,,28.4,,19,45,
239,healthy,_,participant_demographics,Jerome_Dockes,7456884,,,19,12,27.9,7,,,
403,healthy,_,participant_demographics,Jerome_Dockes,7481390,,,28,15,26.39,13,,,
349,healthy,_,participant_demographics,Jerome_Dockes,7485713,,,20,,,,,,
359,healthy,_,participant_demographics,Jerome_Dockes,7493988,,,10,5,67.7,5,,,
153,healthy,_,participant_demographics,Jerome_Dockes,7518235,,,24,,,24,,,
142,healthy,_,participant_demographics,Jerome_Dockes,7539836,,,43,,,,,,
149,healthy,_,participant_demographics,Jerome_Dockes,7563756,,,29,,,,,,
100,healthy,_,participant_demographics,Jerome_Dockes,7649291,,,12,5,25.8,7,,,
329,healthy,dataset 1,participant_demographics,Jerome_Dockes,7721229,,,160,115,37.04,45,19,59,
330,healthy,dataset 2,participant_demographics,Jerome_Dockes,7721229,,,314,249,17.04,65,6.47,56.2,
160,healthy,_,participant_demographics,Jerome_Dockes,7745153,,,46,32,22.61,14,,,
15,healthy,hcd,participant_demographics,Jerome_Dockes,7758977,,,7,2,31,5,,,
16,healthy,fasting,participant_demographics,Jerome_Dockes,7758977,,,6,1,29,5,,,
332,healthy,_,participant_demographics,Jerome_Dockes,7779563,,,34,,73.2,,56,83,
259,healthy,_,participant_demographics,Jerome_Dockes,7829678,,,39,,,,,,
421,healthy,_,participant_demographics,Jerome_Dockes,7836234,,,19,10,45.8,9,,,
111,healthy,_,participant_demographics,Jerome_Dockes,7838677,,,28,14,,14,55,81,
37,healthy,_,participant_demographics,Jerome_Dockes,7851842,,,18,,,,,,
300,healthy,_,participant_demographics,Jerome_Dockes,7875881,,,17,,,,18,55,
202,healthy,_,participant_demographics,Jerome_Dockes,7913329,,,63,36,37,27,22,55,
422,healthy,_,participant_demographics,Jerome_Dockes,7981326,,,15,5,31.6,10,22,54,
13,healthy,_,participant_demographics,Jerome_Dockes,7989009,,,29,16,23.6,13,21,33,
418,healthy,_,participant_demographics,Jerome_Dockes,7994216,,,24,12,25.3,12,21,34,
245,healthy,fmri experiment,participant_demographics,Jerome_Dockes,8018944,,,30,9,23,21,,,
246,healthy,tms-mep experiment,participant_demographics,Jerome_Dockes,8018944,,,9,2,24,7,,,
381,healthy,_,participant_demographics,Jerome_Dockes,8152834,,,39,21,21.33,18,18,24,
369,healthy,_,participant_demographics,Jerome_Dockes,8154462,,,9,9,53.7,,40,67,
168,healthy,_,participant_demographics,Jerome_Dockes,8172304,,,40,8,,32,25,63,
179,healthy,_,participant_demographics,Jerome_Dockes,8213933,,,27,18,14.49,9,,,
326,healthy,_,participant_demographics,Jerome_Dockes,8315277,,,37,,,,,,
132,healthy,young,participant_demographics,Jerome_Dockes,8318202,,,29,,,,19,30,
133,healthy,old,participant_demographics,Jerome_Dockes,8318202,,,32,,,,65,81,
223,healthy,_,participant_demographics,Jerome_Dockes,8379626,,,67,36,15.6,31,,,
40,healthy,_,participant_demographics,Jerome_Dockes,8459240,,,54,26,,28,,,
62,healthy,_,participant_demographics,Jerome_Dockes,8544331,,,18,9,,9,55,,
291,healthy,_,participant_demographics,Jerome_Dockes,8550949,,,35,26,27.12,9,,,
241,healthy,_,participant_demographics,Jerome_Dockes,8569140,,,30,12,47.63,18,,,
271,healthy,_,participant_demographics,Jerome_Dockes,8615904,,,595,218,39.47,377,8,83,
181,healthy,_,participant_demographics,Jerome_Dockes,8699602,,,24,10,34.5,14,,,
41,healthy,_,participant_demographics,Jerome_Dockes,8752963,,,110,,,,,,
305,healthy,_,participant_demographics,Jerome_Dockes,8764488,,,20,14,24,6,20,34,
187,healthy,_,participant_demographics,Jerome_Dockes,8782893,,,79,,,,,,
81,healthy,_,participant_demographics,Jerome_Dockes,8785614,,,31,,,,,,
220,healthy,_,participant_demographics,Jerome_Dockes,8785646,,,15,,,,,,
167,healthy,_,participant_demographics,Jerome_Dockes,8828908,,,216,,,,,,
108,healthy,_,participant_demographics,Jerome_Dockes,8837589,,,20,9,,11,21,31,
428,healthy,_,participant_demographics,Jerome_Dockes,8883821,,,30,22,,8,19,54,
253,healthy,_,participant_demographics,Jerome_Dockes,8893203,,,10,7,26.6,3,,,
10,healthy,_,participant_demographics,Jerome_Dockes,8933317,,,31,,,,,,
296,healthy,_,participant_demographics,Jerome_Dockes,8933759,,,23,,,,,,
98,healthy,_,participant_demographics,Jerome_Dockes,8939409,,,23,10,21.13,13,,,
313,healthy,_,participant_demographics,Jerome_Dockes,9057100,,,163,117,36.9,46,,,
84,healthy,_,participant_demographics,Jerome_Dockes,9108497,,,134,72,5.34,62,5.08,5.22,
374,healthy,NC,participant_demographics,Jerome_Dockes,9205431,,,38,16,,22,,,
375,healthy,APOE,participant_demographics,Jerome_Dockes,9205431,,,38,16,,22,,,
70,healthy,_,participant_demographics,Jerome_Dockes,9230060,,,20,20,,,,,
275,healthy,abide 1,participant_demographics,Jerome_Dockes,9407088,,,573,,,,,,
276,healthy,abide 2,participant_demographics,Jerome_Dockes,9407088,,,593,,,,,,
222,healthy,_,participant_demographics,Jerome_Dockes,9435010,,,50,,,,,,
99,healthy,_,participant_demographics,Jerome_Dockes,9548384,,,23,23,29.9,,,,
371,healthy,_,participant_demographics,Jerome_Dockes,9564100,,,1418,546,22.39,872,18,35,
477,healthy,_,participant_demographics,ju-chi_yu,10839335,,,48,,,,,,
472,healthy,_,participant_demographics,ju-chi_yu,10839845,,,10,,,,,,
591,healthy,_,participant_demographics,ross_blair,10844152,,,7,,,,,,
597,healthy,_,participant_demographics,ross_blair,10850607,,,165,,,,,,
466,healthy,_,participant_demographics,ju-chi_yu,10858222,,,22,,,,,,
474,healthy,_,participant_demographics,ju-chi_yu,10870473,,,30,,,,,,
592,healthy,_,participant_demographics,ross_blair,10877862,,,78,,,,,,
467,healthy,_,participant_demographics,ju-chi_yu,10956805,,,73,,,,,,
469,healthy,_,participant_demographics,ju-chi_yu,10958407,,,37,,,,,,
471,healthy,_,participant_demographics,ju-chi_yu,10980722,,,229,,,,,,
588,healthy,_,participant_demographics,ross_blair,10995093,,,79,,,,,,
596,healthy,_,participant_demographics,ross_blair,10999557,,,58,,,,,,
593,healthy,_,participant_demographics,ross_blair,11000510,,,395,,,,,,
475,healthy,_,participant_demographics,ju-chi_yu,11024046,,,16,,,,,,
464,patients,_,participant_demographics,ju-chi_yu,11033924,,,114,,,,,,
465,healthy,_,participant_demographics,ju-chi_yu,11033924,,,94,,,,,,
594,healthy,_,participant_demographics,ross_blair,11035677,,,54,,,,,,
470,healthy,_,participant_demographics,ju-chi_yu,11063816,,,50,,,,,,
590,healthy,_,participant_demographics,ross_blair,11069337,,,28,,,,,,
