pmcid,abstract
5665859," 
Research on the mechanism of post stroke depression (PSD) is the key way to improve the treatment of PSD. However, the functional brain network of PSD has not been entirely supported by the results of functional magnetic resonance imaging (fMRI) studies. The aims of this study are to investigate the brain response of PSD in three different lesions. The brain responses of the three PSD subgroups were similar. However, each subgroup had its own characteristics of the brain network. In the temporal lobe subgroup, the right thalamus had increased degree centrality (DC) values which were different from the other two subgroups. In the frontal lobe subgroup, the left dorsolateral prefrontal cortex, caudate, and postcentral gyrus had increased DC values which were different from the other two subgroups. The hemodynamic response of PSD indicates that PSD has activities of similar emotional networks, of which the negative network realizes its function through the limbic system and default mode network. The brain network has unique characteristics for different lesion locations. The neurological function of the lesion location, the compensatory mechanism of the brain, and the mechanism of integrity and locality of the brain are the important factors in the individual emotional network. 
 "
4589842," 
Impaired brain energy metabolism is among the leading hypotheses in the pathogenesis of affective disorders and linking energy phosphates with states of tissue-function activity is a novel and non-invasive approach to differentiate healthy from unhealthy states. Resting state functional MRI (fMRI) has been established as an important tool for mapping cerebral regional activity and phosphorous chemical shift imaging ( P CSI) has been applied to measure levels of energy phosphates and phospholipids non-invasively in order to gain insight into the possible etiology of affective disorders. This is an initial attempt to identify the existence of a correlation between regional energy phosphates and connectivity at nodes of the posterior default mode network (DMN). Resting state fMRI in conjunction with  P 2D CSI was applied to 11 healthy controls and 11 depressed patients at 3 T. We found that differences between the two groups exist in correlation of lateral posterior parietal cortex functional connectivity and regional Pi/PCr. Results of this study indicate that resting-state-fMRI-guided  P CSI can provide new insight into depression via regional energy phosphates and functional connectivity. 
   Highlights  
  
Energy phosphates and functional connectivity are markers of physiological conditions.. 
  
We first apply rsfMRI &  P CSI to assess correlation between the two markers. 
  
Distinctive correlations between them in normal controls and patients with depression 
  
 "
3984441," 
Cognitive fluctuations are a core symptom in dementia with Lewy bodies (DLB) and may relate to pathological alterations in distributed brain networks. To test this we analysed resting state fMRI changes in a cohort of fluctuating DLB patients (  n   = 16) compared with age matched controls (  n   = 17) with the aim of finding functional connectivity (FC) differences between these two groups and whether these associate with cognitive fluctuations in DLB. Resting state networks (RSNs) were estimated using independent component analysis and FC between the RSN maps and the entirety of the brain was assessed using dual regression. The default mode network (DMN) appeared unaffected in DLB compared to controls but significant cluster differences between DLB and controls were found for the left fronto-parietal, temporal, and sensory–motor networks. Desynchronization of a number of cortical and subcortical areas related to the left fronto-parietal network was associated with the severity and frequency of cognitive fluctuations. Our findings provide empirical evidence for the potential role of attention–executive networks in the aetiology of this core symptom in DLB. 
   Highlights  
  
We report resting state network (RSN) alterations in dementia with Lewy bodies (DLB). 
  
The default mode network was intact in DLB compared to healthy controls (HC). 
  
Fronto-parietal, temporal, and sensory–motor RSNs showed differences (DLB < HC). 
  
The left fronto-parietal network (FPN) correlated with cognitive fluctuations in DLB. 
  
The FPN therefore may be a potential marker for cognitive fluctuations in DLB. 
  
 "
7272423," 
Postpartum working memory decline has been investigated mostly with neuropsychological tests, but neural evidence is almost unknown. Here we investigated task-related neural alterations during working memory task (n-back) and intrinsic alterations during resting-state (rs) in postpartum women using functional MRI (fMRI). Behaviorally, postpartum women showed comparable working memory performances to the controls although there was a tendency of prolonged response time. fMRI analysis results showed hyper-activation in regions belong to the task positive network (TPN) during the task and hypo-rsfMRI values in the default mode network (DMN) regions during rest in postpartum women. Based on these results, we performed network connectivity analysis using nodes of the TPN and DMN. As a result, the DMN showed a tendency of decreased connectivity in postpartum women during the working memory process compared to the controls. Our results suggest that postpartum women might have functional alterations in the DMN, and that hyper-activation in the TPN during a task might be a compensatory mechanism to maintain working memory performance in postpartum women. 
 "
3869649," 
## Introduction 
  
Cognitive tasks that do not change the required response for a stimulus over time (‘consistent mapping’) show dramatically improved performance after relative short periods of practice. This improvement is associated with reduced brain activity in a large network of brain regions, including left prefrontal and parietal cortex. The present study used fMRI-guided repetitive transcranial magnetic stimulation (rTMS), which has been shown to reduce processing efficacy, to examine if the reduced activity in these regions also reflects reduced involvement, or possibly increased efficiency.  


## Methods 
  
First, subjects performed runs of a Sternberg task in the scanner with novel or practiced target-sets. This data was used to identify individual sites for left prefrontal and parietal peak brain activity, as well as to examine the change in activity related to practice. Outside of the scanner, real and sham rTMS was applied at left prefrontal and parietal cortex to examine their involvement novel and practiced conditions.  


## Results 
  
Prefrontal as well as parietal rTMS significantly reduced target accuracy for novel targets. Prefrontal, but not parietal, rTMS interference was significantly lower for practiced than novel target-sets. rTMS did not affect non-target accuracy, or reaction time in any condition.  


## Discussion 
  
These results show that task practice in a consistent environment reduces involvement of the prefrontal cortex. Our findings suggest that prefrontal cortex is predominantly involved in target maintenance and comparison, as rTMS interference was only detectable for targets. Findings support process switching hypotheses that propose that practice creates the possibility to select a response without the need to compare with target items. Our results also support the notion that practice allows for redistribution of limited maintenance resources.  

 "
4029023," 
A balance of mutual tonic inhibition between bi-hemispheric posterior parietal cortices is believed to play an important role in bilateral visual attention. However, experimental support for this notion has been mainly drawn from clinical models of unilateral damage. We have previously shown that low-frequency repetitive TMS (rTMS) over the intraparietal sulcus (IPS) generates a contralateral attentional deficit in bilateral visual tracking. Here, we used functional magnetic resonance imaging (fMRI) to study whether rTMS temporarily disrupts the inter-hemispheric balance between bilateral IPS in visual attention. Following application of 1 Hz rTMS over the left IPS, subjects performed a bilateral visual tracking task while their brain activity was recorded using fMRI. Behaviorally, tracking accuracy was reduced immediately following rTMS. Areas ventro-lateral to left IPS, including inferior parietal lobule (IPL), lateral IPS (LIPS), and middle occipital gyrus (MoG), showed decreased activity following rTMS, while dorsomedial areas, such as Superior Parietal Lobule (SPL), Superior occipital gyrus (SoG), and lingual gyrus, as well as middle temporal areas (MT+), showed higher activity. The brain activity of the homologues of these regions in the un-stimulated, right hemisphere was reversed. Interestingly, the evolution of network-wide activation related to attentional behavior following rTMS showed that activation of most occipital synergists adaptively compensated for contralateral and ipsilateral decrement after rTMS, while activation of parietal synergists, and SoG remained competing. This pattern of ipsilateral and contralateral activations empirically supports the hypothesized loss of inter-hemispheric balance that underlies clinical manifestation of visual attentional extinction. 
 "
4115625," 
There is not only evidence for behavioral differences in voice perception between female and male listeners, but also recent suggestions for differences in neural correlates between genders. The fMRI functional voice localizer (comprising a univariate analysis contrasting stimulation with vocal vs. non-vocal sounds) is known to give robust estimates of the temporal voice areas (TVAs). However, there is growing interest in employing multivariate analysis approaches to fMRI data (e.g., multivariate pattern analysis; MVPA). The aim of the current study was to localize voice-related areas in both female and male listeners and to investigate whether brain maps may differ depending on the gender of the listener. After a univariate analysis, a random effects analysis was performed on female (  n   = 149) and male (  n   = 123) listeners and contrasts between them were computed. In addition, MVPA with a whole-brain searchlight approach was implemented and classification maps were entered into a second-level permutation based random effects models using statistical non-parametric mapping (SnPM; Nichols and Holmes,  ). Gender differences were found only in the MVPA. Identified regions were located in the middle part of the middle temporal gyrus (bilateral) and the middle superior temporal gyrus (right hemisphere). Our results suggest differences in classifier performance between genders in response to the voice localizer with higher classification accuracy from local BOLD signal patterns in several temporal-lobe regions in female listeners. 
 "
4318429," 
Affective touch is a dynamic process. In this fMRI study we investigated affective touch by exploring its effects on overt behavior. Arm and palm skin were stroked with a soft brush at five different velocities (0.3, 1, 10, 3, and 30 cm s ), using a novel feedback-based paradigm. Following stimulation in each trial, participants actively chose whether the caress they would receive in the next trial would be the same speed (“repeat”) or different (“change”). Since preferred stroking speeds should be sought with greater frequency than non-preferred speeds, this paradigm provided a measure of such preferences in the form of active choices. The stimulation velocities were implemented with respect to the differential subjective pleasantness ratings they elicit in healthy subjects, with intermediate velocities (1, 10, and 3 cm s ) considered more pleasant than very slow or very fast ones. Such pleasantness ratings linearly correlate with changes in mean firing rates of unmyelinated low-threshold C-tactile (CT) afferent nerves in the skin. Here, gentle, dynamic stimulation optimal for activating CT-afferents not only affected behavioral choices, but engaged brain regions involved in reward-related behavior and decision-making. This was the case for both hairy skin of the arm, where CTs are abundant, and glabrous skin of the palm, where CTs are absent. These findings provide insights on central and behavioral mechanisms underlying the perception of affective touch, and indicate that seeking affective touch involves value-based neural processing that is ultimately reflected in behavioral preferences. 
 "
4017227," 
## Background 
  
Mesial temporal lobe epilepsy (MTLE) is the most common type of focal epilepsy in adults and can be successfully cured by surgery. One of the main complications of this surgery however is a decline in language abilities. The magnitude of this decline is related to the degree of language lateralization to the left hemisphere. Most fMRI paradigms used to determine language dominance in epileptic populations have used active language tasks. Sometimes, these paradigms are too complex and may result in patient underperformance. Only a few studies have used purely passive tasks, such as listening to standard speech. 


## Methods 
  
In the present study we characterized language lateralization in patients with MTLE using a rapid and passive semantic language task. We used functional magnetic resonance imaging (fMRI) to study 23 patients [12 with Left (LMTLE), 11 with Right mesial temporal lobe epilepsy (RMTLE)] and 19 healthy right-handed controls using a 6 minute long semantic task in which subjects passively listened to groups of sentences (SEN) and pseudo sentences (PSEN). A lateralization index (LI) was computed using a priori regions of interest of the temporal lobe. 


## Results 
  
The LI for the significant contrasts produced activations for all participants in both temporal lobes. 81.8% of RMTLE patients and 79% of healthy individuals had a bilateral language representation for this particular task. However, 50% of LMTLE patients presented an atypical right hemispheric dominance in the LI. More importantly, the degree of right lateralization in LMTLE patients was correlated with the age of epilepsy onset. 


## Conclusions 
  
The simple, rapid, non-collaboration dependent, passive task described in this study, produces a robust activation in the temporal lobe in both patients and controls and is capable of illustrating a pattern of atypical language organization for LMTLE patients. Furthermore, we observed that the atypical right-lateralization patterns in LMTLE patients was associated to earlier age at epilepsy onset. These results are in line with the idea that early onset of epileptic activity is associated to larger neuroplastic changes. 

 "
8379626,"  Highlights  
  
Evidence of an ongoing and potentially incomplete shift toward visual dominance observed in adolescents. 
  
Modality-specific stratifications of the prefrontal cortex were not present. 
  
Minimal functional evidence of proactive cognitive control and attention-related modulations was observed following cue presentation in adolescents. 
  
Current results suggest increased reliance on reactive control and ongoing transition toward sensory-specific information processing during adolescence rather than specialization. 
  
  
Attention is inherently biased towards the visual modality during most multisensory scenarios in adults, but the developmental trajectory towards visual dominance has not been fully elucidated. More recent evidence in primates and adult humans suggests a modality-specific stratification of the prefrontal cortex. The current study therefore used functional magnetic resonance imaging (fMRI) to investigate the neuronal correlates of proactive (following cues) and reactive (following probes) cognitive control for simultaneous audio-visual stimulation in 67 healthy adolescents (13–18 years old). Behavioral results were only partially supportive of visual dominance in adolescents, with both reduced response times and accuracy during attend-visual relative to attend-auditory trials. Differential activation of medial and lateral prefrontal cortex for processing incongruent relative to congruent stimuli (reactive control) was also only observed during attend-visual trials. There was no evidence of modality-specific prefrontal cortex stratification during the active processing of multisensory stimuli or during separate functional connectivity analyses. Attention-related modulations were also greater within visual relative to auditory cortex, but were less robust than observed in previous adult studies. Collectively, current results suggest a continued transition towards visual dominance in adolescence, as well as limited modality-specific specialization of prefrontal cortex and attentional modulations of unisensory cortex. 
 "
3492343," 
The lateral prefrontal and orbitofrontal cortices have both been implicated in emotion regulation, but their distinct roles in regulation of negative emotion remain poorly understood. To address this issue we enrolled 58 participants in an fMRI study in which participants were instructed to reappraise both negative and neutral stimuli. This design allowed us to separately study activations reflecting cognitive processes associated with reappraisal in general and activations specifically related to reappraisal of negative emotion. Our results confirmed that both the dorsolateral prefrontal cortex (DLPFC) and the lateral orbitofrontal cortex (OFC) contribute to emotion regulation through reappraisal. However, activity in the DLPFC was related to reappraisal independently of whether negative or neutral stimuli were reappraised, whereas the lateral OFC was uniquely related to reappraisal of negative stimuli. We suggest that relative to the lateral OFC, the DLPFC serves a more general role in emotion regulation, perhaps by reflecting the cognitive demand that is inherent to the regulation task. 
 "
3183226,"  Summary  
Human subjects are proficient at tracking the mean and variance of rewards and updating these via prediction errors. Here, we addressed whether humans can also learn about higher-order relationships between distinct environmental outcomes, a defining ecological feature of contexts where multiple sources of rewards are available. By manipulating the degree to which distinct outcomes are correlated, we show that subjects implemented an explicit model-based strategy to learn the associated outcome correlations and were adept in using that information to dynamically adjust their choices in a task that required a minimization of outcome variance. Importantly, the experimentally generated outcome correlations were explicitly represented neuronally in right midinsula with a learning prediction error signal expressed in rostral anterior cingulate cortex. Thus, our data show that the human brain represents higher-order correlation structures between rewards, a core adaptive ability whose immediate benefit is optimized sampling. 
   Highlights  
► Humans learn interdependence of multiple environmental outcomes ► FMRI activity in insula pertains to trial-by-trial estimate of outcome correlation ► Correlation estimate updated by prediction error-based learning mechanism ► Subjects are able to use correlation information to make risk optimal choices 
 "
3991323," 
It is widely accepted that brain maturation from adolescence to adulthood contributes to substantial behavioural changes. Despite this, however, knowledge of the precise mechanisms is still sparse. We used fMRI to investigate developmental differences between healthy adolescents (age range 14–15) and adults (age range 20–39) in feedback-related decision making using a probabilistic reversal learning task. Conventionally groups are compared based on continuous values of blood oxygen level dependent (BOLD) percentage signal change. In contrast, we transformed these values into discrete states and used the pattern of these states to compare groups. We focused our analysis on anterior cingulate cortex (ACC), ventral striatum (VS) and ventromedial prefrontal cortex (vmPFC) as their functions have been shown to be critical in feedback related decision making. Discretisation of continuous BOLD values revealed differential patterns of activity as compared to conventional statistical methods. Results showed differential representation of feedback and decision in ACC and vmPFC between adolescents and adults but no difference in VS. We argue that the pattern of activity of ACC, vmPFC and VS in adolescents resulted in several drawbacks in decision making such as redundant and imprecise representation of decision and subsequently poorer performance in terms of the number of system changes (change of contingencies). This method can be effectively used to infer group differences from within-group analysis rather than studying the differences by direct between-group comparisons. 
   Highlights  
  
ACC activity in adults represented solely the subsequent decision. 
  
ACC activity in adolescents reflected both feedback and decision. 
  
Activity of vmPFC in adults reflected both feedback and decision. 
  
Activity of vmPFC in adolescents it represented feedback only. 
  
VS represented feedback and did not differ between adolescents and adults. 
  
 "
5548834," 
In this functional magnetic resonance imaging (fMRI) study we examined neural processing of infant faces associated with a happy or a sad temperament in nulliparous women. We experimentally manipulated adult perception of infant temperament in a probabilistic learning task. In this task, participants learned about an infant's temperament through repeated pairing of the infant face with positive or negative facial expressions and vocalizations. At the end of the task, participants were able to differentiate between “mostly sad” infants who cried often and “mostly happy” infants who laughed often. Afterwards, brain responses to neutral faces of infants with a happy or a sad temperament were measured with fMRI and compared to brain responses to neutral infants with no temperament association. Our findings show that a brief experimental manipulation of temperament can change brain responses to infant signals. We found increased amygdala connectivity with frontal regions and the visual cortex, including the occipital fusiform gyrus, during the perception of infants with a happy temperament. In addition, amygdala connectivity was positively related to the post-manipulation ratings of infant temperament, indicating that amygdala connectivity is involved in the encoding of the rewarding value of an infant with a happy temperament. 
 "
3780305," 
Although previous literature suggests that writing practice facilitates neural specialization for letters, it is unclear if this facilitation is driven by the perceptual feedback from the act of writing or the actual execution of the motor act. The present study addresses this issue by measuring the change in BOLD signal in response to hand-printed letters, unlearned cursive letters, and cursive letters that 7-year-old children learned actively, by writing, and passively, by observing an experimenter write. Brain activation was assessed using fMRI while perceiving letters—in both cursive and manuscript forms. Results showed that active training led to increased recruitment of the sensori-motor network associated with letter perception as well as the insula and claustrum, but passive observation did not. This suggests that perceptual networks for newly learned cursive letters are driven by motor execution rather than by perceptual feedback. 
 "
6344389," 
To explore the effects of practice we scanned participants with fMRI while they were performing four-key unfamiliar and familiar sequences, and compared the associated activities relative to simple control sequences. On the basis of a recent cognitive model of sequential motor behavior (C-SMB), we propose that the observed neural activity would be associated with three functional networks that can operate in parallel and that allow (a) responding to stimuli in a   reaction mode  , (b) sequence execution using spatial sequence representations in a   central-symbolic mode  , and (c) sequence execution using motor chunk representations in a   chunking mode  . On the basis of this model and findings in the literature, we predicted which neural areas would be active during execution of the unfamiliar and familiar keying sequences. The observed neural activities were largely in line with our predictions, and allowed functions to be attributed to the active brain areas that fit the three above functional systems. The results corroborate C-SMB’s assumption that at advanced skill levels the systems executing motor chunks and translating key-specific stimuli are racing to trigger individual responses. They further support recent behavioral indications that spatial sequence representations continue to be used. 
 "
4174863," 
This study presents the first neuroimaging investigation of female psychopathy in an incarcerated population. Prior studies have found that male psychopathy is associated with reduced limbic and paralimbic activation when processing emotional stimuli and making moral judgments. The goal of this study was to investigate whether these findings extend to female psychopathy. During fMRI scanning, 157 incarcerated and 46 non-incarcerated female participants viewed unpleasant pictures, half which depicted moral transgressions, and neutral pictures. Participants rated each picture on moral transgression severity. Psychopathy was assessed using the Psychopathy Checklist-Revised (PCL-R) in all incarcerated participants. Non-incarcerated participants were included as a control group to derive brain regions of interest associated with viewing unpleasant vs. neutral pictures (emotion contrast), and unpleasant pictures depicting moral transgressions vs. unpleasant pictures without moral transgressions (moral contrast). Regression analyses in the incarcerated group examined the association between PCL-R scores and brain activation in the emotion and moral contrasts. Results of the emotion contrast revealed a negative correlation between PCL-R scores and activation in the right amygdala and rostral anterior cingulate. Results of the moral contrast revealed a negative correlation between PCL-R scores and activation in the right temporo-parietal junction. These results indicate that female psychopathy, like male psychopathy, is characterized by reduced limbic activation during emotion processing. In contrast, reduced temporo-parietal activation to moral transgressions has been less observed in male psychopathy. These results extend prior findings in male psychopathy to female psychopathy, and reveal aberrant neural responses to morally-salient stimuli that may be unique to female psychopathy. 
 "
5596109," 
Independent component analysis (ICA) has been widely used in functional magnetic resonance imaging (fMRI) data analysis to evaluate functional connectivity of the brain; however, there are still some limitations on ICA simultaneously handling neuroimaging datasets with diverse acquisition parameters, e.g., different repetition time, different scanner, etc. Therefore, it is difficult for the traditional ICA framework to effectively handle ever-increasingly big neuroimaging datasets. In this research, a novel feature-map based ICA framework (FMICA) was proposed to address the aforementioned deficiencies, which aimed at exploring brain functional networks (BFNs) at different scales, e.g., the first level (individual subject level), second level (intragroup level of subjects within a certain dataset) and third level (intergroup level of subjects across different datasets), based only on the feature maps extracted from the fMRI datasets. The FMICA was presented as a hierarchical framework, which effectively made ICA and constrained ICA as a whole to identify the BFNs from the feature maps. The simulated and real experimental results demonstrated that FMICA had the excellent ability to identify the intergroup BFNs and to characterize subject-specific and group-specific difference of BFNs from the independent component feature maps, which sharply reduced the size of fMRI datasets. Compared with traditional ICAs, FMICA as a more generalized framework could efficiently and simultaneously identify the variant BFNs at the subject-specific, intragroup, intragroup-specific and intergroup levels, implying that FMICA was able to handle big neuroimaging datasets in neuroscience research. 
 "
7002496," 
The factors that drive amygdalar responses to emotionally significant stimuli are still a matter of debate – particularly the proneness of the amygdala to respond to negatively-valenced stimuli has been discussed controversially. Furthermore, it is uncertain whether the amygdala responds in a modality-general fashion or whether modality-specific idiosyncrasies exist. Therefore, the present functional magnetic resonance imaging (fMRI) study systematically investigated amygdalar responding to stimulus valence and arousal of emotional expressions across visual and auditory modalities. During scanning, participants performed a gender judgment task while prosodic and facial emotional expressions were presented. The stimuli varied in stimulus valence and arousal by including neutral, happy and angry expressions of high and low emotional intensity. Results demonstrate amygdalar activation as a function of stimulus arousal and accordingly associated emotional intensity regardless of stimulus valence. Furthermore, arousal-driven amygdalar responding did not depend on the visual and auditory modalities of emotional expressions. Thus, the current results are consistent with the notion that the amygdala codes general stimulus relevance across visual and auditory modalities irrespective of valence. In addition, whole brain analyses revealed that effects in visual and auditory areas were driven mainly by high intense emotional facial and vocal stimuli, respectively, suggesting modality-specific representations of emotional expressions in auditory and visual cortices. 
 "
4274095," 
Studies in sleeping newborns and infants propose that the superior temporal sulcus is involved in speech processing soon after birth. Speech processing also implicitly requires the analysis of the human voice, which conveys both linguistic and extra-linguistic information. However, due to technical and practical challenges when neuroimaging young children, evidence of neural correlates of speech and/or voice processing in toddlers and young children remains scarce. In the current study, we used functional magnetic resonance imaging (fMRI) in 20 typically developing preschool children (average age  = 5.8 y; range 5.2–6.8 y) to investigate brain activation during judgments about vocal identity versus the initial speech sound of spoken object words. FMRI results reveal common brain regions responsible for voice-specific and speech-sound specific processing of spoken object words including bilateral primary and secondary language areas of the brain. Contrasting voice-specific with speech-sound specific processing predominantly activates the anterior part of the right-hemispheric superior temporal sulcus. Furthermore, the right STS is functionally correlated with left-hemispheric temporal and right-hemispheric prefrontal regions. This finding underlines the importance of the right superior temporal sulcus as a temporal voice area and indicates that this brain region is specialized, and functions similarly to adults by the age of five. We thus extend previous knowledge of voice-specific regions and their functional connections to the young brain which may further our understanding of the neuronal mechanism of speech-specific processing in children with developmental disorders, such as autism or specific language impairments. 
 "
6347794," 
## Background 
  
Adult attention-deficit/hyperactivity disorder (ADHD) is a serious and frequent psychiatric disorder of multifactorial pathogenesis. Several lines of evidence support the idea that ADHD is, in its core, a disorder of dysfunctional brain connectivity within and between several neurofunctional networks. The primary aim of this study was to investigate associations between the functional connectivity within resting state brain networks and the individual severity of core ADHD symptoms (inattention, hyperactivity, and impulsivity). 


## Methods 
  
Resting state functional magnetic resonance imaging (rs-fMRI) data of 38 methylphenidate-naïve adults with childhood-onset ADHD (20 women, mean age 40.5 years) were analyzed using independent component analysis (FSL’s MELODIC) and FSL’s dual regression technique. For motion correction, standard volume-realignment followed by independent component analysis-based automatic removal of motion artifacts (FSL’s ICA-AROMA) were employed. To identify well-established brain networks, the independent components found in the ADHD group were correlated with brain networks previously found in healthy participants (Smith et al. PNAS 2009;106:13040–5). To investigate associations between functional connectivity and individual symptom severity, sex, and age, linear regressions were performed. 


## Results 
  
Decomposition of resting state brain activity of adults with ADHD resulted in similar resting state networks as previously described for healthy adults. No significant differences in functional connectivity were seen between women and men. Advanced age was associated with decreased functional connectivity in parts of the bilateral cingulate and paracingulate cortex within the executive control network. More severe hyperactivity was associated with increased functional connectivity in the left putamen, right caudate nucleus, right central operculum and a portion of the right postcentral gyrus within the auditory/sensorimotor network. 


## Conclusions 
  
The present study supports and extends our knowledge on the involvement of the striatum in the pathophysiology of ADHD, in particular, in the pathogenesis of hyperactivity. Our results emphasize the usefulness of dimensional analyses in the study of ADHD, a highly heterogeneous disorder. 


## Trial registration 
  
ISRCTN12722296 (10.1186/ISRCTN12722296). 


## Electronic supplementary material 
  
The online version of this article (10.1186/s12888-019-2031-9) contains supplementary material, which is available to authorized users. 

 "
7829678," 
Type 2 diabetes mellitus (T2DM) leads to a higher risk of brain damage and adversely affects cognition. The underlying neural mechanism of T2DM-induced cognitive impairment (T2DM-CI) remains unclear. This study proposes to identify a small number of dysfunctional brain connections as imaging biomarkers, distinguishing between T2DM-CI, T2DM with normal cognition (T2DM-NC), and healthy controls (HC). We have recruited 22 T2DM-CI patients, 31 T2DM-NC patients, and 39 HCs. The structural Magnetic Resonance Imaging (MRI) and resting state fMRI images are acquired, and neuropsychological tests are carried out. Amplitude of low frequency fluctuations (ALFF) is analyzed to identify impaired brain regions implicated with T2DM and T2DM-CI. The functional network is built and all connections connected to impaired brain regions are selected. Subsequently, L -norm regularized sparse canonical correlation analysis and sparse logistic regression are used to identify discriminative connections and Support Vector Machine is trained to realize three two-category classifications. It is found that single-digit dysfunctional connections predict T2DM and T2DM-CI. For T2DM-CI versus HC, T2DM-NC versus HC, and T2DM-CI versus T2DM-NC, the number of connections is 6, 7, and 5 and the area under curve (AUC) can reach 0.912, 0.901, and 0.861, respectively. The dysfunctional connection is mainly related to Default Model Network (DMN) and long-distance links. The strength of identified connections is significantly different among groups and correlated with cognitive assessment score (  p   < 0.05). Via ALFF analysis and further feature selection algorithms, a small number of dysfunctional brain connections can be identified to predict T2DM and T2DM-CI. These connections might be the imaging biomarkers of T2DM-CI and targets of intervention. 
 "
5390693," 
Rewards reliably elicit ventral striatum activity. More recently studies have shown that vicarious rewards elicit similar activation. Ventral striatum responses to rewards for self peak during adolescence. However, it is currently not well understood how ventral striatum responses to vicarious rewards develop. In this study, we test this question using behavioral and fMRI data. A total of 233 participants aged 9–26 years old played a gambling game in the scanner in which they could win or lose money for themselves, their best friend and mother. Participants rated how close they felt to their friend and mother and how much they liked winning for them. These ratings were positively correlated. On the neural level males showed higher responses to winning for a friend, but there were no age differences. In contrast, there was a quadratic effect of age when winning for mother, showing heightened ventral striatum activity in mid-adolescence. Furthermore, there was an interaction between age and sex; for females responses to winning for friends become stronger with age relative to winning for mothers. In conclusion, this study provided evidence for elevated ventral striatum responses for mothers in mid-adolescence, and a shift in ventral striatum responses towards peers in girls. 
 "
6664004," 
Adolescence is a time of unique sensitivity to socially salient stimuli such as social rewards. This period overlaps with the onset of psychopathology such as internalizing and externalizing symptoms. In the current studies, we examined behavioral and neural patterns of dysregulation to social rewards and threats, and links to internalizing and externalizing symptoms in youths. In study 1, we used a social Go/NoGo cognitive control task using peer faces to test for age-related behavioral differences in inhibitory failures in adolescents (  N   = 53, M  = 13.37 years), and adults (  N   = 51, M  = 43.71 years). In study 2, an independent adolescent sample (  N   = 51, M  = 13.98 years) completed a similar social Go/NoGo cognitive control task during fMRI. Results show that adolescents had greater inhibitory failures – as measured by false alarm rate – to both social reward and threat cues than adults, and more so to social reward than threat cues. Greater inhibitory failures to social reward than threat cues were associated with greater internalizing symptoms, but were not significantly related to externalizing symptoms. At the neural level, greater inhibitory failures to social reward than threat cues as well as greater internalizing symptoms were both associated with heightened amygdala-ventral striatum connectivity. Our findings indicate that subcortico-subcortical connectivity, which is deemed to occur chronologically earlier and thus necessary for subcortico-cortical circuits, may serve as an early biomarker for emotion dysregulation and a risk factor for internalizing symptoms. 
 "
6878729," 
 Introduction:   Reorganization after early lesions in the developing brain has been an object of extensive scientific work, but even growing data from translational neuroscience studies in the last 20 years does not provide unified factors for prediction of type of reorganization and rehabilitation potential of patients with unilateral cerebral palsy (UCP) due to pre/perinatal insult. 

 Aim:   To analyze the type of motor, language, and sensory brain reorganization in patients with right-sided cerebral palsy due to pre/perinatal isolated left-sided brain lesions taking into consideration the type (cortico-subcortical or periventricular) and extent (gray and white matter damage) of the lesion, etiology, comorbidity, and other postnatal factors that could have played a role in the complex process of brain plasticity. 

 Material and Methods:   Eight patients with unilateral right cerebral palsy were included in the study. The individual data from fMRI of primary sensory, motor, and language representation were analyzed and compared with respective comprehensive etiological, clinical, and morphological data. Patients were examined clinically and psychologically, and investigated by structural and functional 3T GE scanner. A correlation between the type and extent of the lesion (involvement of cortical and subcortical structures), timing of lesion, type of reorganization (laterality index), and clinical and psychological outcome was done. 

 Results:   Significant interindividual diversity was found in the patient group predominantly in the patterns of motor reorganization. Patients with small periventricular lesions have ipsilesional representation of primary motor, sensory, and word generation function. Patients with lesions involving left cortico-subcortical regions show various models of reorganization in all three modalities (ipsilesional, contralesional, and bilateral) and different clinical outcome that seem to be impossible for prediction. However, patients with UCP who demonstrate ipsilesional motor cortical activation have better motor functional capacity. 

 Conclusion:   The type and size of the pre/perinatal lesion in left hemisphere could affect the natural potential of the young brain for reorganization and therefore the clinical outcome. Much larger sample and additional correlation with morphological data (volumetry, morphometry, tractography) is needed for determination of possible risk or protective factors that could play a role in the complex process of brain plasticity. 
 "
7779563," 
Networks in the prefrontal cortex (PFC) that are important for executive function are also engaged in adaptive responding to negative events. These networks are particularly vulnerable to age-related structural atrophy and an associated loss of executive function, yet existing evidence suggests preserved emotion processing ability in ageing. Using longitudinally acquired data from a battery of cognitive tasks, we defined a metric for the rate of decline of executive function. With this metric, we investigated relationships between changes in executive function and emotion reappraisal ability and brain structure, in 34 older adults, using functional and structural MRI. During task-based fMRI, participants were asked to cognitively reappraise negatively valenced images. We hypothesised one of two associations with decreasing executive function over time: 1) a decreased ability to reappraise reflected in decreased PFC and increased amygdala activation, or 2) a neural compensation mechanism characterised by increased PFC activation but no differential amygdala activation. Structurally, for a decreased reappraisal ability, we predicted a decrease in grey matter in PFC and/or a decrease of white matter integrity in amygdala-PFC pathways. Neither of the two hypotheses relating to brain function were completely supported, with the findings indicating a steeper decline in executive function associated with both increased PFC and increased left amygdala activity when reappraising negative stimuli. In addition, white matter integrity of the uncinate fasciculus, a primary white matter tract connecting the amygdala and ventromedial areas of PFC, was lower in those individuals who demonstrated a greater decrease in executive function. These findings highlight the association of diminishing cognitive ability with brain structure and function linked to emotion regulation. 
 "
