count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,pmcid,rank,start_char,end_char
6.0,,healthy,,5.0,1.0,28.5,22-35,22.0,35.0,,3894920,,2326.0,29539
30.0,major depressive disorder,patients,,9.0,21.0,,,,,,4869560,,2409.0,25553
29.0,,healthy,,,,,,,,,4869560,,2409.0,25553
31.0,,healthy,,26.0,5.0,26.64,,,,,8550949,,2232.0,30471
35.0,,healthy,,26.0,9.0,27.12,,,,,8550949,,2232.0,30471
42.0,,healthy,,,,,,18.0,,,5394595,,2522.0,27967
60.0,,healthy,,,,,,18.0,,,5394595,,2522.0,27967
17.0,,healthy,,7.0,10.0,50.76,,,,,5394595,,2522.0,27967
1112.0,autism spectrum disorder patients,patients,,,,,,,,,9407088,,29835.0,37514
573.0,,healthy,,,,,,,,,9407088,,29835.0,37514
1114.0,autism spectrum disorder patients,patients,,,,,,,,,9407088,,29835.0,37514
593.0,,healthy,,,,,,,,,9407088,,29835.0,37514
820.0,,healthy,,,,,,,,,6492297,2.0,23589.0,32791
12.0,,healthy,subjects,12.0,0.0,31.0,18-55,18.0,55.0,,3258233,,,24439
12.0,cockroach phobia,patients,phobic group,4.0,8.0,40.08,,,,,6220927,,,26001
12.0,,healthy,non-phobic group,4.0,8.0,24.08,,,,,6220927,,,26001
21.0,Parkinson's disease,patients,,13.0,8.0,60.8,44-73,,,,3182403,,,26805
26.0,,healthy,,,,,,,,,3893192,,,25372
25.0,,healthy,,,,,,,,,3893192,,,25372
50.0,mild traumatic brain injury,patients,,25.0,28.0,,20-58,,,,7539836,,2128.0,29560
43.0,,healthy,,19.0,24.0,,20-59,,,,7539836,,2128.0,29560
24.0,,healthy,,10.0,14.0,34.5,,,,,8699602,,,27355
102.0,,healthy,,36.0,66.0,21.5,20-23,20.0,23.0,,3775427,,5581.0,15669
23.0,,healthy,,,,15.2,,,,,4030253,,,22915
18.0,,healthy,,,,15.1,,,,,4030253,,,22915
20.0,mal de debarquement syndrome,patients,,5.0,15.0,43.4,27-66,,,,3510214,,2266.0,31419
20.0,,healthy,,,,43.0,23-59,,,,3510214,,2266.0,31419
31.0,,healthy,,17.0,14.0,21.5,21-22,21.0,22.0,,5339238,,2807.0,31582
31.0,,healthy,,17.0,14.0,21.5,21-22,21.0,22.0,,5339238,,2807.0,31582
32.0,,healthy,,17.0,15.0,26.0,25-27,,,,4332461,,,22777
77.0,,healthy,,24.0,24.0,26.4,,,,,2993660,,2374.0,31896
163.0,,healthy,,,,,,,,,9057100,,32216.0,52513
151.0,,healthy,,,,,,,,,9057100,,32216.0,52513
12.0,,healthy,,5.0,7.0,25.8,,,,,7649291,,2502.0,29360
20.0,,healthy,,,,,18-23,18.0,23.0,,3520927,,,27811
20.0,,healthy,,,,,18-23,18.0,23.0,,3520927,,,27811
11.0,,healthy,,11.0,0.0,56.2,45-68,,,,8154462,,,19156
9.0,,healthy,,9.0,0.0,53.7,40-67,,,,8154462,,,19156
60.0,heroin addiction,patients,male,60.0,0.0,,,,,,4990879,,2120.0,22230
167.0,,healthy,,111.0,56.0,10.74,5-18,,,,8782893,,,27082
14.0,Alzheimer's disease,patients,,,,,,,,,3423412,,2069.0,24627
8.0,Mild cognitive impairment,patients,,,,,,,,,3423412,,2069.0,24627
14.0,,healthy,,,,,,,,,3423412,,2069.0,24627
29.0,healthy,patients,young adults,10.0,19.0,23.8,19-30,,,,8318202,,2049.0,31488
32.0,healthy,patients,older adults,15.0,17.0,71.0,65-81,,,,8318202,,2049.0,31488
31.0,,healthy,,0.0,31.0,,,,,,3913832,,2178.0,32124
35.0,,healthy,,0.0,35.0,,,,,,3913832,,2178.0,32124
24.0,multiple system atrophy,patients,,,,,,,,,7485713,,,6819
20.0,,healthy,,,,,,,,,7485713,,,6819
50.0,,healthy,,29.0,21.0,,,,,,6675526,,2116.0,17794
20.0,,healthy,,13.0,7.0,,,,,,6675526,,2116.0,17794
157.0,,healthy,,0.0,157.0,,18-50,18.0,50.0,,4174863,,2197.0,31756
46.0,,healthy,,0.0,46.0,,18-50,18.0,50.0,,4174863,,2197.0,31756
63.0,healthy,patients,GnRHa,32.0,31.0,24.3,,,,,5068584,,2022.0,30784
63.0,healthy,patients,Placebo,33.0,30.0,24.3,,,,,5068584,,2022.0,30784
37.0,,healthy,,17.0,20.0,,,,,,4184784,,,24862
34.0,,healthy,,22.0,12.0,,,,,,4184784,,,24862
100.0,,healthy,,,,,,,,,9435010,,3139.0,31882
50.0,,healthy,,,,,,,,,9435010,,3139.0,31882
24.0,,healthy,,,,,55-80,55.0,80.0,,5552726,,2701.0,19138
53.0,mild traumatic brain injury,patients,,,,,,,,,7275020,,2510.0,24695
37.0,,healthy,,,,,,,,,7275020,,2510.0,24695
29.0,,healthy,,,,,,,,,7563756,,,27006
595.0,,healthy,,216.0,379.0,39.47,8-83,,,,8615904,,,22307
38.0,attention-deficit/hyperactivity disorder,patients,,18.0,20.0,,,18.0,65.0,,6347794,,3088.0,32438
173.0,,healthy,,,,,,,,,9308181,,,26539
10.0,,healthy,,3.0,7.0,39.8,,18.0,50.0,,2935390,,2055.0,21893
15.0,,healthy,,7.0,8.0,23.8,,,,,5324609,,,24283
23.0,,healthy,,23.0,0.0,29.96,unknown,,,,9548384,,2152.0,18402
28.0,,healthy,younger adults,19.0,9.0,24.39,18-34,,,,7004957,,,28950
24.0,,healthy,older adults,15.0,9.0,66.95,55-75,,,,7004957,,,28950
21.0,Essential Tremor,patients,,12.0,9.0,51.6,,,,,4732188,,2426.0,31720
21.0,,healthy,,14.0,7.0,50.6,,,,,4732188,,2426.0,31720
121.0,panic disorder and agoraphobia,patients,,,,,,,,,6854061,,2596.0,28842
77.0,,healthy,,,,,,,,,6854061,,2596.0,28842
19.0,attention-deficit hyperactivity disorder,patients,ADHD alone,,,,,,,,4936600,,2670.0,31280
6.0,Developmental coordination disorder,patients,DCD alone,,,,,,,,4936600,,2670.0,31280
14.0,Developmental coordination disorder+attention-deficit hyperactivity disorder,patients,DCD+ADHD,,,,,,,,4936600,,2670.0,31280
21.0,,healthy,,,,,,,,,4936600,,2670.0,31280
12.0,,healthy,,7.0,5.0,23.8,19-32,,,,3791281,,,26715
12.0,,healthy,,7.0,5.0,23.8,19-32,,,,3791281,,,26715
33.0,,healthy,,17.0,16.0,25.3,,,,,3676955,,,13399
11.0,,healthy,,5.0,6.0,61.0,,,,,4589842,,,23127
11.0,,healthy,,5.0,6.0,56.0,,,,,4589842,,,23127
16.0,dementia with Lewy bodies,patients,,,,,,,,,3984441,,2077.0,31965
17.0,,healthy,,,,,,,,,3984441,,2077.0,31965
1.0,GNE myopathy with congenital thrombocytopenia,patients,,1.0,0.0,29.0,,29.0,29.0,29.0,8978988,,,16470
18.0,Parkinson's disease with anxiety,patients,PD-A,,,,,,,,5655292,,,22003
45.0,Parkinson's disease without anxiety,patients,PD-NA,,,,,,,,5655292,,,22003
24.0,,healthy,,,,,,,,,5655292,,,22003
6.0,,healthy,,3.0,2.0,7.33,,,,,9461104,,,23477
1.0,,healthy,,1.0,0.0,6.0,,,,,9461104,,,23477
