count,diagnosis,group_name,male count,female count,age mean,age range,age minimum,age maximum,age median,subgroup_name,mean age,pmcid,rank,start_char,end_char
23.0,young people with a history of childhood abuse,patients,15.0,8.0,17.5,,,,,physical abuse,,5104469,,12106,15360
27.0,hearing-impaired listeners,participants,,,,60-80,60.0,80.0,,right-handed,,6509414,,8835,10592
21.0,Parkinson's disease,patients,13.0,8.0,60.8,44-73,44.0,73.0,,Hoehn and Yahr stages 13,,3182403,,5559,6387
20.0,healthy,children,,,5.8,5.2-6.8,5.0,6.0,,native English speaking,,4274095,1.0,12283,13600
20.0,probable or definite sporadic ALS,patients,,,,,,,,,,3447931,,7348,8813
15.0,,healthy,8.0,7.0,26.5,21-38,21.0,38.0,26.0,right-handed volunteers,,3324921,,9056,13005
284.0,,healthy,71.0,140.0,25.6,19-35,19.0,35.0,25.0,,,4319399,,9266,11511
20.0,right-handed male offenders,VA group,6.0,14.0,,,,,,,,9230060,,4708,5988
20.0,right-handed male offenders,VP group,7.0,13.0,,,,,,,,9230060,,4708,5988
20.0,right-handed male offenders,NV group,7.0,13.0,,,,,,,,9230060,,4708,5988
20.0,right-handed male non-criminal healthy controls,HC group,20.0,0.0,,,,,,,,9230060,,4708,5988
14.0,healthy,patients,7.0,7.0,25.0,20-30,20.0,30.0,25.0,A,,5324609,2.0,12737,15360
14.0,normal hearing,listeners,7.0,7.0,,2248,22.0,48.0,,,,3788350,,9587,10771
15.0,phobic prone,patients,9.0,6.0,39.2,34.8-43.6,34.8,43.6,39.0,PP,,3002948,,8290,11062
15.0,eating disorders prone,patients,10.0,5.0,34.4,25.75-43.05,25.75,43.05,34.4,EDP,,3002948,,8290,11062
19.0,PD/AG,patients,,,,,,,,A/A homozygous HC,,6854061,2.0,25570,27485
24.0,MSA c-type patients,patients,,,,,,,,,,7485713,,27477,29306
20.0,,healthy,,,,,,,,,,7485713,,27477,29306
28.0,,healthy,19.0,9.0,24.39,18-34,,,,younger adults,,7004957,4.0,9185,11794
24.0,,healthy,15.0,9.0,66.95,55-75,,,,older adults,,7004957,4.0,9185,11794
23.0,non-convicted CSOs,patients,,,,,,,,,,6678781,1.0,16665,20137
38.0,CSOs convicted participants,patients,,,,,,,,,,6678781,1.0,16665,20137
180.0,AVH,patients,,,,,,,,,,9435010,,11452,12744
16.0,ASD,patients,16.0,0.0,13.0,8-18,,,14.0,,,5279905,,7481,9124
16.0,,healthy,16.0,0.0,,,,,,,,5279905,,7481,9124
42.0,ASD,patients,,,,8-36,,,,,,3842522,,11123,13089
48.0,,healthy,,,,,,,,,,3842522,,11123,13089
2.0,,healthy,,,,,,,,,,3777673,,12233,16884
20.0,MdDS,patients,5.0,15.0,43.4,27-66,27.0,66.0,,,,3510214,,12585,13447
20.0,,healthy,,,43.0,23-59,23.0,59.0,,,,3510214,,12585,13447
11.0,,healthy,5.0,6.0,31.0,25-38,25.0,38.0,31.0,,,3132672,,7753,11701
21.0,PTSD,patients,,,,,,,,childhood sexual and/or physical abuse,,5030332,,7905,9151
34.0,alcohol-dependent patients,ADP,34.0,0.0,,,,,,,,5413198,,10741,12545
26.0,,healthy,26.0,0.0,,,,,,,,5413198,,10741,12545
19.0,,healthy,7.0,12.0,24.7,19-30,19.0,30.0,,,,2561002,1.0,27803,30938
15.0,,healthy,5.0,10.0,26.1,21-35,21.0,35.0,,,,2561002,1.0,27803,30938
1.0,,healthy,,,,,,,,,,8933759,,9208,10406
20.0,ADHD,patients,10.0,10.0,25.0,20-30,20.0,30.0,25.0,,,4030253,3.0,14925,16493
23.0,refractory epilepsy of the temporal lobe,patients,8.0,15.0,,,,,,LMTLE,,4017227,2.0,7012,9327
19.0,,healthy,10.0,9.0,,,,,,,,4017227,2.0,7012,9327
18.0,,healthy,,,,,,,,,,4352055,,25752,26232
163.0,,healthy,,,,,,,,,,9057100,2.0,32216,35670
151.0,SZ,patients,,,,,,,,,,9057100,2.0,32216,35670
5.0,,healthy,3.0,2.0,27.0,,,,,,,5857897,,6603,7746
5.0,anesthetised,patients,,,,,,,,,,6699415,,34985,36467
75.0,chronic dieters,patients,0.0,75.0,19.38,18-23,18.0,23.0,,,,5460048,,11781,14592
14.0,healthy,participants,7.0,7.0,30.0,25-35,25.0,35.0,30.0,Experiment 1,,6016936,1.0,13042,14927
10.0,healthy,participants,5.0,5.0,28.0,22-32,22.0,32.0,28.0,Experiment 2,,6016936,1.0,13042,14927
6.0,,healthy,,,,,,,,,,9461104,,8676,10310
102.0,,healthy,36.0,66.0,21.5,20-23,20.0,23.0,,,,3775427,1.0,8012,10968
100.0,resting state fMRI,patients,50.0,50.0,30.0,20-40,20.0,40.0,30.0,HMM,,6492297,3.0,2027,5319
595.0,,healthy,,,39.47,883,,,,,,8615904,,7046,10033
1.0,autism,patients,1.0,0.0,8.0,8-8,8.0,8.0,8.0,children,,9407088,,31900,35502
3.0,autism,patients,2.0,1.0,54.5,50-64,50.0,64.0,54.0,adults,,9407088,,31900,35502
